num,proposed_2026,population
1,Calgary-Acadia,53346
2,Calgary-Airdrie,58820
3,Calgary-Beddington,61320
4,Calgary-Bow-Springbank,55560
5,Calgary-Buffalo,66801
6,Calgary-Cross,63064
7,Calgary-Currie,60141
8,Calgary-De Winton,47732
9,Calgary-East,57107
10,Calgary-Edgemont,56584
11,Calgary-Elbow,59034
12,Calgary-Falconridge,63986
13,Calgary-Fish Creek,57894
14,Calgary-Foothills-Airdrie West,58436
15,Calgary-Glenmore,53096
16,Calgary-Hays,52395
17,Calgary-Klein,61817
18,Calgary-Lougheed,56122
19,Calgary-McCall-Bhullar,66474
20,Calgary-Mountain View,62634
21,Calgary-Nolan Hill-Cochrane,56282
22,Calgary-North,56981
23,Calgary-North East,68145
24,Calgary-North West-Bearspaw,57246
25,Calgary-Peigan-Chestermere,52639
26,Calgary-South,55134
27,Calgary-South East,54045
28,Calgary-Varsity,64982
29,Calgary-West-Tsuut’ina,57827
30,Edmonton-Beaumont,55802
31,Edmonton-Beverly-Clareview,57481
32,Edmonton-Castledowns,59612
33,Edmonton-City Centre,57312
34,Edmonton-Decore,57959
35,Edmonton-Ellerslie,59760
36,Edmonton-Enoch-Devon,55043
37,Edmonton-Glenora-Riverview,59708
38,Edmonton-Gold Bar,54981
39,Edmonton-Highlands-Norwood,51806
40,Edmonton-Manning,56901
41,Edmonton-McClung,61859
42,Edmonton-Meadows,56880
43,Edmonton-Mill Woods,59673
44,Edmonton-North West,61226
45,Edmonton-Rutherford,58082
46,Edmonton-South,60775
47,Edmonton-Spruce Grove,59524
48,Edmonton-Strathcona,56165
49,Edmonton-West Henday,62510
50,Edmonton-Whitemud,60347
51,Edmonton-Windermere,56944
52,Airdrie East,50797
53,Barrhead-Westlock-Athabasca,46892
54,Camrose,48536
55,Canmore-Kananaskis,49542
56,Cold Lake-Bonnyville-St. Paul,55713
57,Central Peace-Notley,30446
58,Chestermere-Strathmore,52982
59,Drumheller-Stettler,51370
60,Fort McMurray-Lac La Biche,44719
61,Fort McMurray-Wood Buffalo,46721
62,Fort Saskatchewan-Vegreville,54274
63,Grande Prairie,50352
64,Grande Prairie-Wapiti,52041
65,Highwood,54375
66,Lac Ste. Anne-Parkland,47017
67,Leduc,52328
68,Lesser Slave Lake,30011
69,Lethbridge-Cardston,51831
70,Lethbridge-Fort MacLeod-Crowsnest Pass,54564
71,Lethbridge-Little Bow,56212
72,Lethbridge-Taber-Warner,60906
73,Lloydminster-Wainwright,49365
74,Medicine Hat-Brooks,54898
75,Medicine Hat-Cypress,60690
76,Olds-Three Hills-Didsbury,49436
77,Peace River,43408
78,Red Deer-Blackfalds,52827
79,Red Deer-Innisfail,52961
80,Red Deer-Lacombe,56180
81,Red Deer-Sylvan Lake,52454
82,Rocky Mountain House-Banff Park,38298
83,Sherwood Park,55311
84,St. Albert,54589
85,St. Albert-Sturgeon,52334
86,Stony Plain-Drayton Valley,48032
87,Sherwood Park-Strathcona,51826
88,West Yellowhead,49766
89,Wetaskawin-Ponoka-Maskwacis,48775
