ed_name,pop_2021_from_das,polygon_source
Calgary-Acadia,50214.0,approx
Calgary-Airdrie,64069.0,2019_identity_from_Airdrie-Cochrane
Calgary-Beddington,47231.0,approx
Calgary-Bow-Springbank,47788.0,v7
Calgary-Buffalo,55556.0,approx
Calgary-Cross,48284.0,approx
Calgary-Currie,50145.0,approx
Calgary-De Winton,36763.0,approx
Calgary-East,47046.0,approx
Calgary-Edgemont,48224.0,approx
Calgary-Elbow,46891.0,approx
Calgary-Falconridge,48861.0,approx
Calgary-Fish Creek,44333.0,approx
Calgary-Foothills-Airdrie West,27057.0,v7
Calgary-Glenmore,46840.0,approx
Calgary-Hays,52843.0,approx
Calgary-Klein,49957.0,approx
Calgary-Lougheed,39722.0,approx
Calgary-McCall-Bhullar,48437.0,2019_identity_from_Calgary-McCall
Calgary-Mountain View,53187.0,approx
Calgary-Nolan Hill-Cochrane,4633.0,v7
Calgary-North,48182.0,approx
Calgary-North East,69209.0,approx
Calgary-North West-Bearspaw,1375.0,2019_identity_from_Calgary-North West
Calgary-Peigan-Chestermere,32756.0,v7
Calgary-South,28921.0,approx
Calgary-South East,4970.0,approx
Calgary-Varsity,45792.0,approx
Calgary-West-Tsuut'ina,46309.0,2019_identity_from_Calgary-West
Edmonton-Beaumont,15577.0,v7
Edmonton-Beverly-Clareview,264708.0,v7
Edmonton-Castledowns,34812.0,approx
Edmonton-City Centre,9781.0,approx
Edmonton-Decore,4464.0,approx
Edmonton-Ellerslie,67996.0,approx
Edmonton-Enoch-Devon,83859.0,v7
Edmonton-Glenora-Riverview,111684.0,v7
Edmonton-Gold Bar,42241.0,approx
Edmonton-Highlands-Norwood,63994.0,v7
Edmonton-Manning,20951.0,approx
Edmonton-McClung,1006.0,approx
Edmonton-Meadows,54395.0,approx
Edmonton-Mill Woods,2277.0,approx
Edmonton-North West,2882.0,approx
Edmonton-Rutherford,38647.0,approx
Edmonton-South,58448.0,approx
Edmonton-Spruce Grove,55638.0,approx
Edmonton-Strathcona,40979.0,approx
Edmonton-West Henday,13197.0,approx
Edmonton-Whitemud,34625.0,approx
Edmonton-Windermere,11109.0,approx
Airdrie East,54323.0,approx
Barrhead-Westlock-Athabasca,39763.0,v7
Camrose,43143.0,approx
Canmore-Kananaskis,42496.0,approx
Cold Lake-Bonnyville-St. Paul,52092.0,v7
Central Peace-Notley,27092.0,approx
Chestermere-Strathmore,51660.0,approx
Drumheller-Stettler,40070.0,approx
Fort McMurray-Lac La Biche,39523.0,approx
Fort McMurray-Wood Buffalo,44440.0,approx
Fort Saskatchewan-Vegreville,53997.0,approx
Grande Prairie,46612.0,approx
Grande Prairie-Wapiti,50242.0,approx
Highwood,41676.0,approx
Lac Ste. Anne-Parkland,44822.0,approx
Leduc,41062.0,approx
Lesser Slave Lake,27330.0,approx
Lethbridge-Cardston,44227.0,approx
Lethbridge-Fort MacLeod-Crowsnest Pass,17975.0,v7
Lethbridge-Little Bow,89078.0,approx
Lethbridge-Taber-Warner,37179.0,v7
Lloydminster-Wainwright,45418.0,approx
Medicine Hat-Brooks,52137.0,approx
Medicine Hat-Cypress,12088.0,approx
Olds-Three Hills-Didsbury,51208.0,approx
Peace River,39968.0,approx
Red Deer-Blackfalds,53419.0,approx
Red Deer-Innisfail,47425.0,approx
Red Deer-Lacombe,46536.0,approx
Red Deer-Sylvan Lake,48296.0,approx
Rocky Mountain House-Banff Park,26748.0,v7
Sherwood Park,47359.0,approx
St. Albert,18656.0,approx
St. Albert-Sturgeon,42204.0,2019_identity_from_Morinville-St. Albert
Stony Plain-Drayton Valley,45392.0,approx
Sherwood Park-Strathcona,47825.0,approx
West Yellowhead,49424.0,approx
Wetaskawin-Ponoka-Maskwacis,43492.0,approx
