ed_name,ucp_2023,ndp_2023,other_2023,polygon_source,total_votes
Calgary-Acadia,15175,14661,978,v7,30814
Calgary-Beddington,19011,19369,766,v7,39146
Calgary-Bhullar-McCall,8823,12042,0,v7,20865
Calgary-Bow,18519,20849,1133,v7,40501
Calgary-Buffalo,16666,29416,1121,v7,47203
Calgary-Confluence,1298,2350,83,2019-parent,3731
Calgary-Cross,8958,9559,668,v7,19185
Calgary-Currie,15221,15636,1029,v7,31886
Calgary-East,3928,3678,355,v7,7961
Calgary-Edgemont,15213,15312,823,v7,31348
Calgary-Elbow,11753,12250,1044,v7,25047
Calgary-Falconridge-Conrich,1842,2781,157,v7,4780
Calgary-Fish Creek,24467,21239,1143,v7,46849
Calgary-Glenmore-Tsuut'ina,6993,5475,177,v7,12645
Calgary-Hays,16841,12246,673,v7,29760
Calgary-Klein,16334,18848,958,v7,36140
Calgary-Lougheed,1857,1161,85,v7,3103
Calgary-McKenzie,16762,12432,450,v7,29644
Calgary-Mountain View,233,460,13,v7,706
Calgary-North,3032,3013,4,v7,6049
Calgary-North East,8671,8765,68,v7,17504
Calgary-North West,9727,8546,515,v7,18788
Calgary-Nose Creek,1266,1327,46,2019-parent,2639
Calgary-Shaw,732,576,11,v7,1319
Calgary-South East,15165,11015,506,v7,26686
Calgary-Symons Valley,358,188,11,v7,557
Calgary-Varsity,1978,2893,50,v7,4921
Calgary-West-Elbow Valley,11772,10505,488,v7,22765
Edmonton-Beaumont,5522,4674,235,osm-municipal-buffered,10431
Edmonton-Beverly-Clareview,5690,8510,559,v7,14759
Edmonton-Castle Downs,12831,17780,1300,v7,31911
Edmonton-City Centre,8083,25565,1093,v7,34741
Edmonton-Decore,6642,16043,818,v7,23503
Edmonton-Ellerslie,6918,11266,244,v7,18428
Edmonton-Enoch,27305,27190,2050,v7,56545
Edmonton-Glenora-Riverview,1351,2908,140,v7,4399
Edmonton-Gold Bar,19654,38261,952,v7,58867
Edmonton-Highlands-Norwood,0,0,0,v7,0
Edmonton-Manning,3545,5618,172,v7,9335
Edmonton-McClung,562,828,38,v7,1428
Edmonton-Meadows,119,187,3,v7,309
Edmonton-Mill Woods,449,703,0,v7,1152
Edmonton-North West,20750,29206,1229,v7,51185
Edmonton-Rutherford,16590,34875,1583,v7,53048
Edmonton-South,7959,12015,315,v7,20289
Edmonton-Strathcona,347,1660,60,v7,2067
Edmonton-West Henday,4770,6452,364,v7,11586
Edmonton-Whitemud,1102,1806,81,v7,2989
Edmonton-Windermere,9741,13056,288,2019-parent,23085
Airdrie-East,14362,8146,590,2019-parent,23098
Airdrie-West,461,223,16,sweep,700
Barrhead-Westlock-Athabasca,15631,5401,0,2019-parent,21032
Camrose,13032,5579,1945,v7,20556
Canmore-Banff,8238,8956,339,2019-parent,17533
Central Peace-Notley,9280,2216,450,v7,11946
Chestermere-Strathmore,15125,6001,558,2019-parent,21684
Cochrane-Springbank,16399,10315,711,sweep,27425
Cold Lake-Bonnyville-St. Paul,13315,4327,0,2019-parent,17642
Drumheller-Stettler,15270,2684,636,v7,18590
Fort McMurray-Lac La Biche,7692,2561,202,2019-parent,10455
Fort McMurray-Wood Buffalo,6483,1884,1211,v7,9578
Fort Saskatchewan-Vegreville,14126,9064,1136,v7,24326
Grande Prairie,10001,4890,750,v7,15641
Grande Prairie-Wapiti,15285,4137,645,v7,20067
High River-Vulcan-Siksika,16509,4854,1347,sweep,22710
Lacombe-Clearwater,29895,8113,5608,v7,43616
Leduc-Devon,9082,6194,473,2019-parent,15749
Lesser Slave Lake,5171,2636,144,v7,7951
Lethbridge-East,10998,10362,488,2019-parent,21848
Lethbridge-West,9525,12082,800,2019-parent,22407
Livingstone-Macleod,16491,6492,1652,v7,24635
Lloydminster-Wainwright,13097,3075,1432,v7,17604
Medicine Hat-Brooks,13315,5477,1233,2019-parent,20025
Medicine Hat-Cypress,13489,7697,609,v7,21795
Mountain View-Kneehill,18228,4553,1428,2019-parent,24209
Okotoks-Diamond Valley,11174,4915,360,sweep,16449
Peace River,8236,2587,484,v7,11307
Red Deer-North,10629,7144,721,v7,18494
Red Deer-South,13469,9976,580,v7,24025
Sherwood Park,11262,12897,1492,v7,25651
Spruce Grove,14365,10197,645,v7,25207
St. Albert,2774,4098,120,v7,6992
St. Albert-Sturgeon,9217,7116,577,2019-parent,16910
Stony Plain-Drayton Valley,16532,5009,890,2019-parent,22431
Strathcona-Sherwood Park,13522,11402,597,v7,25521
Sylvan Lake-Innisfail,16385,5700,797,2019-parent,22882
Taber-Cardston,12379,2817,1246,2019-parent,16442
West Yellowhead,14263,5604,0,v7,19867
Wetaskiwin-Ponoka-Maskwacis,11640,4801,793,v7,17234
