ed_name,ucp_2023,ndp_2023,other_2023,polygon_source,total_votes
Calgary-Acadia,25470,22816,1236,v7,49522
Calgary-Airdrie,18074,11223,775,2019-parent,30072
Calgary-Beddington,11329,11992,683,v7,24004
Calgary-Bow-Springbank,15571,15906,1237,v7,32714
Calgary-Buffalo,14889,19928,986,v7,35803
Calgary-Cross,7533,7019,456,v7,15008
Calgary-Currie,19595,19809,1462,v7,40866
Calgary-De Winton,12893,8473,295,v7,21661
Calgary-East,8582,10046,780,v7,19408
Calgary-Edgemont,15652,17612,627,v7,33891
Calgary-Elbow,21626,19008,1520,v7,42154
Calgary-Falconridge,14077,13814,102,v7,27993
Calgary-Fish Creek,9106,7180,350,v7,16636
Calgary-Foothills-Airdrie West,10704,10700,297,v7,21701
Calgary-Glenmore,12639,12687,422,v7,25748
Calgary-Hays,489,383,19,v7,891
Calgary-Klein,19789,17335,1053,v7,38177
Calgary-Lougheed,14244,12125,613,v7,26982
Calgary-McCall-Bhullar,1859,2579,0,2019-parent,4438
Calgary-Mountain View,8468,16516,544,v7,25528
Calgary-Nolan Hill-Cochrane,1158,1119,27,v7,2304
Calgary-North,182,177,0,v7,359
Calgary-North East,2637,3583,0,v7,6220
Calgary-North West-Bearspaw,220,219,21,2019-parent,460
Calgary-Peigan-Chestermere,9493,6379,276,v7,16148
Calgary-South,0,0,0,v7,0
Calgary-South East,489,319,14,v7,822
Calgary-Varsity,9377,13449,253,v7,23079
Calgary-West-Tsuut'ina,11167,8187,264,2019-parent,19618
Edmonton-Beaumont,3161,2714,138,v7,6013
Edmonton-Beverly-Clareview,31279,59710,3225,v7,94214
Edmonton-Castledowns,4243,5230,284,v7,9757
Edmonton-City Centre,8679,27995,1108,v7,37782
Edmonton-Decore,624,844,28,v7,1496
Edmonton-Ellerslie,525,803,23,v7,1351
Edmonton-Enoch-Devon,16365,23326,1043,v7,40734
Edmonton-Glenora-Riverview,16383,28687,1526,v7,46596
Edmonton-Gold Bar,16268,19330,1758,v7,37356
Edmonton-Highlands-Norwood,13008,21619,325,v7,34952
Edmonton-Manning,0,0,0,v7,0
Edmonton-McClung,16199,27826,1089,v7,45114
Edmonton-Meadows,7003,11829,245,v7,19077
Edmonton-Mill Woods,312,215,11,v7,538
Edmonton-North West,5101,4031,378,v7,9510
Edmonton-Rutherford,3081,4257,114,v7,7452
Edmonton-South,1006,1467,38,v7,2511
Edmonton-Spruce Grove,14365,10197,645,v7,25207
Edmonton-Strathcona,510,2393,100,v7,3003
Edmonton-West Henday,2066,2815,157,v7,5038
Edmonton-Whitemud,638,1029,45,v7,1712
Edmonton-Windermere,758,1002,22,v7,1782
Airdrie East,12271,6971,512,v7,19754
Barrhead-Westlock-Athabasca,14234,4984,13,v7,19231
Camrose,14498,6092,2030,v7,22620
Canmore-Kananaskis,7711,8781,354,v7,16846
Cold Lake-Bonnyville-St. Paul,14070,4545,0,v7,18615
Central Peace-Notley,9766,2316,473,v7,12555
Chestermere-Strathmore,12683,5015,479,v7,18177
Drumheller-Stettler,17410,3311,820,v7,21541
Fort McMurray-Lac La Biche,7147,2391,188,v7,9726
Fort McMurray-Wood Buffalo,6483,1884,1211,v7,9578
Fort Saskatchewan-Vegreville,8536,4993,721,v7,14250
Grande Prairie,10001,4890,750,v7,15641
Grande Prairie-Wapiti,14606,3962,621,v7,19189
Highwood,14339,6131,468,v7,20938
Lac Ste. Anne-Parkland,15298,5770,801,v7,21869
Leduc,12792,8698,643,v7,22133
Lesser Slave Lake,6058,2909,144,v7,9111
Lethbridge-Cardston,9007,2168,1020,v7,12195
Lethbridge-Fort MacLeod-Crowsnest Pass,27967,19081,2617,v7,49665
Lethbridge-Little Bow,20817,12462,1518,v7,34797
Lethbridge-Taber-Warner,11922,5713,599,v7,18234
Lloydminster-Wainwright,13618,3270,1463,v7,18351
Medicine Hat-Brooks,13315,5477,1233,v7,20025
Medicine Hat-Cypress,3221,2281,150,v7,5652
Olds-Three Hills-Didsbury,16583,4194,1289,v7,22066
Peace River,8236,2587,484,v7,11307
Red Deer-Blackfalds,13469,9976,580,v7,24025
Red Deer-Innisfail,14303,8365,918,v7,23586
Red Deer-Lacombe,13432,4771,1765,v7,19968
Red Deer-Sylvan Lake,13133,4497,799,v7,18429
Rocky Mountain House-Banff Park,11596,2343,2722,v7,16661
Sherwood Park,644,721,77,v7,1442
St. Albert,3782,5399,140,v7,9321
St. Albert-Sturgeon,9277,7212,574,2019-parent,17063
Stony Plain-Drayton Valley,36955,30683,2211,v7,69849
Sherwood Park-Strathcona,4829,4567,216,v7,9612
West Yellowhead,13565,5417,0,v7,18982
Wetaskawin-Ponoka-Maskwacis,12406,4638,1358,v7,18402
