ed_name,pop_2021_census,pop_plan_b,drift_pct,dev_from_mean_plan_a_pct,dev_from_mean_plan_b_pct,legal_window_plan_a,legal_window_plan_b,status_change_flag,aggregation_method
Airdrie-East,53809,69943,29.983831701016562,-2.0398373972098702,9.388758323747433,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Airdrie-West,48145,59352,23.27759891992938,-12.351241827364738,-7.175248644881436,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Barrhead-Westlock-Athabasca,52249,61532,17.766847212386843,-4.879842854667779,-3.765793901079064,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-Acadia,55791,65704,17.768098797297053,1.5684259468167803,2.7590892141243777,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-Beddington,56024,65978,17.767385406254462,1.9926062491165832,3.1876170121986207,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-Bhullar-McCall,55887,65817,17.767996135058244,1.7431955134295747,2.935817831578354,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-Bow,54981,64750,17.767956203051963,0.09380772852132774,1.267061771194348,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-Buffalo,58777,69220,17.767153818670568,7.004487675002238,8.258007966055178,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-Confluence,58632,69049,17.766748533224177,6.740512808764164,7.9905690847752675,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-Cross,59491,70061,17.767393387235046,8.304336326684897,9.573306791531232,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-Currie,58111,68436,17.76772039717093,5.792023806625977,7.031855434339095,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-East,58308,68668,17.767716265349524,6.150665521445982,7.3946964896428335,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-Edgemont,55141,64938,17.767178687365117,0.38509033954265165,1.5610881435956536,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-Elbow,55297,65122,17.767690833137422,0.6690908852884425,1.8488586357331016,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-Falconridge-Conrich,56661,66728,17.76707082472953,3.152275144245229,4.360594561671914,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-Fish Creek,55403,65247,17.767990903019694,0.8620656150900697,2.0443548939786504,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
