ed_name,pop_2021_census,pop_plan_b,drift_pct,dev_from_mean_plan_a_pct,dev_from_mean_plan_b_pct,legal_window_plan_a,legal_window_plan_b,status_change_flag,aggregation_method
Airdrie East,50797,66028,29.984054176427744,-7.524178357227883,3.148612841032438,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Barrhead-Westlock-Athabasca,46892,55224,17.768489294549177,-14.633221873873062,-13.729342164942517,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-Acadia,53346,63748,19.499118959247177,-2.883729721138623,-0.41319180665572414,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-Airdrie,58820,69271,17.767766065963958,7.081674686061302,8.214811293862573,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-Beddington,61320,73278,19.500978473581213,11.632918934873835,14.474526742672428,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-Bow-Springbank,55560,66394,19.499640028797696,1.146852185609757,3.7203762186876426,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-Buffalo,66801,79827,19.499708088202272,21.611066825970436,24.705341934650395,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-Cross,63064,75362,19.50082455917798,14.80786692284546,17.730141166261078,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-Currie,60141,71868,19.499176934204616,9.486552147133844,12.271831763181064,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-De Winton,47732,56213,17.76795441213442,-13.104003806272049,-12.184331289256733,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-East,57107,68242,19.498485299525452,3.9631621267749537,6.607312617340153,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-Edgemont,56584,67618,19.500212074084548,3.011041829923371,5.632502924288656,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-Elbow,59034,70546,19.5006267574618,7.471261193759654,10.206609945530296,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-Falconridge,63986,76463,19.499578032694654,16.486365801807523,19.45011788428944,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-Fish Creek,57894,69183,19.499429992745362,5.39589381630114,8.077338132021977,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-Foothills-Airdrie West,58436,69830,19.498254500650283,6.382603569443697,9.08807831055454,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-Glenmore,53096,63450,19.500527346692785,-3.338854146019876,-0.8787259228886506,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-Hays,52395,62612,19.499952285523428,-4.615023033386911,-2.1878453504161417,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-Klein,61817,73870,19.4978727534497,12.537706291537768,15.399346195054617,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-Lougheed,56122,67065,19.498592352375184,2.1699718927428147,4.768609077722185,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-McCall-Bhullar,66474,79436,19.49935313054728,21.015764078225757,24.094523681472296,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-Mountain View,62634,74849,19.502187310406487,14.025052912049704,16.928735120531243,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-Nolan Hill-Cochrane,56282,66282,17.76766994776305,2.461251524666817,3.5454103763450666,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-North,56981,68092,19.499482283568206,3.733779416634802,6.372983364202773,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-North East,68145,81434,19.50106390784357,24.057815734132053,27.215789333262187,pass,fail,True,commission Plan A + direct 2019-ED growth factor
Calgary-North West-Bearspaw,57246,68397,19.47909024211299,4.216211307008931,6.849452845582111,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-Peigan-Chestermere,52639,62903,19.49885066205665,-4.170821594702807,-1.7332465993296262,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-South,55134,64930,17.767620705916496,0.37132016561210146,1.433322708066823,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Calgary-South East,54045,64584,19.500416319733553,-1.6112018291706383,0.8928032308299352,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-Varsity,64982,77653,19.499245945030932,18.299581510534434,21.309129959179316,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Calgary-West-Tsuut'ina,57827,68101,17.766787140954918,5.273920470432963,6.387043119391017,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Camrose,48536,51879,6.887671007087523,-11.640323655853939,-18.954884509906073,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Canmore-Kananaskis,49542,58344,17.766743369262443,-9.808902970131776,-8.855293699685033,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Central Peace-Notley,30446,32486,6.700387571437956,-44.57312704026143,-49.25053255052735,s15(2),s15(2),False,commission Plan A + direct 2019-ED growth factor
Chestermere-Strathmore,52982,65341,23.32679023064437,-3.546390883765728,2.0753848616632418,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Cold Lake-Bonnyville-St. Paul,55713,65612,17.767845924649542,1.4253883336370843,2.4987397123314397,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Drumheller-Stettler,51370,54413,5.92369087015768,-6.48103317540005,-14.996282326905282,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Edmonton-Beaumont,55802,65717,17.768180351958712,1.5874126288948105,2.6627701895276052,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-Beverly-Clareview,57481,69263,20.497207773003254,4.644028266397308,8.202313733695247,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Edmonton-Castledowns,59612,70204,17.768234583640876,8.523508864085112,9.672339248377071,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-City Centre,57312,69062,20.50181462869905,4.336364155177582,7.888312534491158,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Edmonton-Decore,57959,69840,20.49897341223969,5.514226166770265,9.103700260763697,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Edmonton-Ellerslie,59760,72013,20.50368139223561,8.792942523614816,12.498350041213863,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Edmonton-Enoch-Devon,55043,64823,17.76792689351961,0.2056548749553252,1.266167840828826,pass,pass,False,commission Plan A + feeder-weighted 2019-ED growth (APPROXIMATE; hybrid ED)
Edmonton-Glenora-Riverview,59708,71947,20.498090708112816,8.698276643239513,12.395245169833416,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Edmonton-Gold Bar,54981,66249,20.494352594532657,0.09278401758477436,3.493857940654843,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Edmonton-Highlands-Norwood,51806,62427,20.501486314326524,-5.687296178407144,-2.476851429285576,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Edmonton-Manning,56901,68566,20.500518444315567,3.5881396006728004,7.113463804116892,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Edmonton-McClung,61859,74541,20.501463004574923,12.614167194917819,16.44757905408916,pass,pass,False,commission Plan A + direct 2019-ED growth factor
Edmonton-Meadows,56880,68541,20.501054852320674,3.549909148982775,7.074408928593995,pass,pass,False,commission Plan A + direct 2019-ED growth factor
