ed_2026,parents,n_parents,parent_union_PP,parent_union_Reock,pp_minus10pct_perim,pp_plus10pct_perim
Calgary-East,Calgary-East,1,0.30945912517495017,0.27780475748414424,0.38204830268512363,0.2557513431197935
Calgary-Falconridge-Conrich,Calgary-Falconridge;Chestermere-Strathmore,2,0.47590268353705345,0.6465132930251886,0.5875341772062388,0.3933080029231845
Calgary-Glenmore-Tsuut'ina,Calgary-Glenmore;Calgary-West,2,0.2578359633704418,0.24645708816734796,0.3183160041610393,0.21308757303342293
Calgary-West-Elbow Valley,Calgary-West;Banff-Kananaskis,2,0.1718850082014108,0.22442520234435284,0.2122037138289022,0.14205372578628989
Edmonton-Beaumont,Edmonton-Ellerslie;Leduc-Beaumont,2,0.4046905384998144,0.3753679580898966,0.499617948765203,0.3344549904957143
Edmonton-Enoch,Edmonton-West Henday;Lac Ste. Anne-Parkland,2,0.3026615773200294,0.40982987008108757,0.3736562682963326,0.25013353497523094
Airdrie-East,Airdrie-East,1,0.43284119562997914,0.33459145290931014,0.5343718464567644,0.35771999638841245
Airdrie-West,Airdrie-Cochrane,1,0.4236054796048144,0.6263501385631504,0.5229697279071782,0.3500871732271193
Chestermere-Strathmore,Chestermere-Strathmore,1,0.5439835243884031,0.6814330679211213,0.6715845980103742,0.4495731606515729
Cochrane-Springbank,Airdrie-Cochrane;Banff-Kananaskis,2,0.16314446112156558,0.23468697099213084,0.2014129149648958,0.13483013315831868
Cold Lake-Bonnyville-St. Paul,Bonnyville-Cold Lake-St. Paul,1,0.3981721244189589,0.4202703636455486,0.49157052397402323,0.3290678714206271
Fort McMurray-Lac La Biche,Fort McMurray-Lac La Biche,1,0.3705109283945945,0.45556924733498333,0.45742089925258567,0.30620737883850774
High River-Vulcan-Siksika,Highwood;Cardston-Siksika;Livingstone-Macleod,3,0.2524219777489066,0.6345838300026699,0.31163207129494647,0.20861320475116243
Leduc-Devon,Leduc-Beaumont;Drayton Valley-Devon,2,0.23517196250645173,0.3189382574339886,0.2903357561808046,0.19435699380698485
Lethbridge-East,Lethbridge-East,1,0.3891639740804433,0.3168247345562404,0.4804493507165967,0.3216231190747465
Lethbridge-West,Lethbridge-West,1,0.3735810384094509,0.37617652092614734,0.4612111585301863,0.30874465984252136
Medicine Hat-Brooks,Brooks-Medicine Hat,1,0.3040593686976302,0.40080277637018824,0.3753819366637409,0.2512887344608513
Okotoks-Diamond Valley,Highwood;Livingstone-Macleod,2,0.26745220220321664,0.42409297206769414,0.3301879039545884,0.221034877853898
St. Albert-Sturgeon,Morinville-St. Albert,1,0.4968347126715756,0.4347862592391618,0.6133761884834267,0.4106072005550212
Calgary-Bow-Springbank,Calgary-Bow;Banff-Kananaskis,2,0.1684650212432672,0.2245788491442039,0.20798150770773727,0.13922729028369188
Calgary-Foothills-Airdrie West,Calgary-Foothills;Airdrie-Cochrane,2,0.4002203447120786,0.665084390567911,0.4940991910025662,0.33076061546452773
Calgary-McCall-Bhullar,Calgary-McCall,1,0.5827343554068485,0.5175922171593983,0.7194251301319118,0.4815986408321061
Calgary-North West-Bearspaw,Calgary-North West;Airdrie-Cochrane,2,0.41055331353850416,0.6481364438867193,0.5068559426401287,0.3393002591227307
Calgary-Peigan-Chestermere,Calgary-Peigan;Chestermere-Strathmore,2,0.4735917240672207,0.624389832533205,0.5846811408237292,0.3913981190638187
Calgary-West-Tsuut’ina,Calgary-West,1,0.7691061470633369,0.6302950809683697,0.9495137618065889,0.6356249149283776
Edmonton-Beverly-Clareview,Edmonton-Beverly-Clareview,1,0.40330765652051376,0.4470105937817856,0.4979106870623627,0.3333121128268709
Edmonton-Glenora-Riverview,Edmonton-Glenora;Edmonton-Riverview,2,0.35525393420854395,0.48176519746002394,0.43858510396116535,0.29359829273433385
Edmonton-Highlands-Norwood,Edmonton-Highlands-Norwood,1,0.5180325712053891,0.4632581687365419,0.6395463842041842,0.4281260919052802
St. Albert-Sturgeon,Morinville-St. Albert,1,0.4968347126715756,0.4347862592391618,0.6133761884834267,0.4106072005550212
Lethbridge-Taber-Warner,Taber-Warner,1,0.44034841862447116,0.5897199004905302,0.5436400229931743,0.3639243129127861
Calgary-Airdrie,Calgary-Foothills;Airdrie-Cochrane,2,0.4002203447120786,0.665084390567911,0.4940991910025662,0.33076061546452773
Calgary-Nolan Hill-Cochrane,Calgary-Foothills;Airdrie-Cochrane,2,0.4002203447120786,0.665084390567911,0.4940991910025662,0.33076061546452773
Edmonton-Beaumont,Edmonton-Ellerslie;Leduc-Beaumont,2,0.4046905384998144,0.3753679580898966,0.499617948765203,0.3344549904957143
Edmonton-Enoch-Devon,Edmonton-West Henday;Drayton Valley-Devon,2,0.24122244230344037,0.30252576333223086,0.297805484325235,0.19935739033342173
Lethbridge-Fort MacLeod-Crowsnest Pass,Lethbridge-West;Livingstone-Macleod,2,0.2615756826442589,0.48768181629138707,0.3229329415361221,0.21617825011922226
