ed,source,area_km2,carved_from
Calgary-Buffalo,exact_2019_match,10.555415893432462,Calgary-Mountain View; Peace River
Calgary-Elbow,exact_2019_match,19.042863596009656,Calgary-West-Tsuut'ina; Peace River
Calgary-Glenmore,exact_2019_match,29.208237450220942,Calgary-Currie; Peace River
Calgary-North West-Bearspaw,rename_map (1 2019 parts),26.219787391216947,Calgary-Bow-Springbank; Calgary-Lougheed; Calgary-Varsity; Peace River
Calgary-Peigan-Chestermere,rename_map (1 2019 parts),1580.5111739771683,Airdrie East; Calgary-East; Calgary-Fish Creek; Calgary-Klein; Chestermere-Strathmore (midline → kept by neighbour); Drumheller-Stettler; Highwood; Peace River
Calgary-South East,exact_2019_match,52.5327642768033,Calgary-De Winton; Calgary-South; Highwood; Peace River
Edmonton-Castledowns,rename_map (1 2019 parts),20.859177122388555,Edmonton-Beverly-Clareview; Peace River
Edmonton-North West,exact_2019_match,29.92862690131793,Edmonton-Beverly-Clareview; Edmonton-West Henday; Peace River; St. Albert
Edmonton-Windermere,rename_map (2 2019 parts),21.404575853442502,Edmonton-Glenora-Riverview; Edmonton-Highlands-Norwood; Edmonton-McClung; Edmonton-South; Edmonton-Strathcona; Edmonton-Whitemud (midline → kept by neighbour); Peace River
Lethbridge-Taber-Warner,rename_map (2 2019 parts),18304.14784704905,Chestermere-Strathmore; Drumheller-Stettler; Highwood; Lethbridge-Cardston (midline → kept by neighbour); Lethbridge-Fort MacLeod-Crowsnest Pass; Lethbridge-Little Bow (midline → kept by neighbour); Medicine Hat-Cypress; Peace River
Red Deer-Blackfalds,rename_map (2 2019 parts),2067.618200383638,Peace River; Red Deer-Innisfail (midline → kept by neighbour); Red Deer-Lacombe; Red Deer-Sylvan Lake
St. Albert-Sturgeon,rename_map (2 2019 parts),2.1328151546490997,Edmonton-Spruce Grove (midline → kept by neighbour); Edmonton-West Henday; Peace River; St. Albert (midline → kept by neighbour)
