ed_a,ed_b,overlap_km2,ed_a_km2,ed_b_km2,frac_of_smaller
Edmonton-Manning,Stony Plain-Drayton Valley,0.29875340925731103,10.152650317253778,47.2995151548513,0.029426149815245658
Edmonton-Decore,Stony Plain-Drayton Valley,0.26691200549975785,36.01230535599324,47.2995151548513,0.007411688945243762
Edmonton-Decore,Edmonton-Manning,0.2663841285020368,36.01230535599324,10.152650317253778,0.02623789061752024
Edmonton-Beaumont,Sherwood Park-Strathcona,0.03365449453519833,107.76590419659499,486.96081153474677,0.00031229260113480023
Calgary-Fish Creek,Chestermere-Strathmore,0.010643349887567695,21.868517187808212,1.0778946924705541,0.00987420196232059
Calgary-Fish Creek,Calgary-Hays,0.00925807891633573,21.868517187808212,19.976007803022146,0.00046345991689766396
Calgary-De Winton,Calgary-Elbow,0.008668379484528527,439.57692317314894,0.08417142562853133,0.10298482436051591
Calgary-Edgemont,Peace River,0.000801111116190806,3.0342855890162928,189737.2240808545,0.0002640196819609601
Olds-Three Hills-Didsbury,Peace River,0.0006258505530098573,5461.2509367690645,189737.2240808545,1.1459838785216436e-07
Edmonton-Beaumont,Peace River,0.0004748213290271055,107.76590419659499,189737.2240808545,4.406044124688077e-06
Calgary-Falconridge,Peace River,0.00035971160021684663,73.0122719044777,189737.2240808545,4.9267279435908944e-06
Peace River,Stony Plain-Drayton Valley,0.00032608703964530106,189737.2240808545,47.2995151548513,6.894088418829294e-06
Edmonton-Beverly-Clareview,Edmonton-Enoch-Devon,0.00019978504598232552,112.84927429760639,1.8519324645369775,0.00010787922875593416
Calgary-Beddington,Peace River,0.00019390062468818315,29.59567717083127,189737.2240808545,6.551653593494612e-06
Edmonton-Glenora-Riverview,Peace River,0.00018116471840286485,46.92671716289253,189737.2240808545,3.860587941278822e-06
Edmonton-Mill Woods,Sherwood Park-Strathcona,0.00014835194758600144,26.47713595044194,486.96081153474677,5.603020956030754e-06
Calgary-East,Peace River,0.00013137617095965702,74.53761266223017,189737.2240808545,1.7625486820324228e-06
Leduc,Peace River,0.00012696310208724993,158.57072069780597,189737.2240808545,8.006717856142443e-07
Edmonton-Beaumont,Edmonton-Highlands-Norwood,0.00012396195364481935,107.76590419659499,52.65585879829639,2.3541910904856416e-06
Airdrie East,Calgary-Foothills-Airdrie West,8.253653325458166e-05,709.2460846296134,0.6780627554890754,0.00012172403304329765
Edmonton-Highlands-Norwood,Stony Plain-Drayton Valley,2.7154232794098442e-05,52.65585879829639,47.2995151548513,5.740911445962962e-07
Calgary-Mountain View,Calgary-Varsity,2.672667120436346e-05,17.37512873327903,23.917153233337803,1.538214284028479e-06
Canmore-Kananaskis,Peace River,2.5421828064904473e-05,15292.679449693007,189737.2240808545,1.6623527713722402e-09
Calgary-Varsity,Peace River,2.4484543273213513e-05,23.917153233337803,189737.2240808545,1.0237231427310853e-06
Calgary-Foothills-Airdrie West,Peace River,2.4099093989077207e-05,0.6780627554890754,189737.2240808545,3.5541096740662204e-05
Airdrie East,Peace River,2.4099093989077207e-05,709.2460846296134,189737.2240808545,3.397846602376716e-08
Edmonton-Enoch-Devon,Edmonton-West Henday,2.217708557351694e-05,1.8519324645369775,70.30062092177535,1.1975104923203387e-05
Calgary-Acadia,Peace River,2.191504726109652e-05,26.789980684842448,189737.2240808545,8.180314692610389e-07
Calgary-Mountain View,Peace River,1.815863055157407e-05,17.37512873327903,189737.2240808545,1.0450932957287608e-06
Calgary-North,Calgary-North East,1.769235205259452e-05,7.921564531550838,0.4663363720718197,3.793903523757257e-05
Calgary-Acadia,Calgary-South,1.4337881067801359e-05,26.789980684842448,18.147033267152256,7.900950451087891e-07
Calgary-Nolan Hill-Cochrane,Canmore-Kananaskis,1.2037583870392076e-05,434.10454108275724,15292.679449693007,2.7729688890992836e-08
Edmonton-Gold Bar,Sherwood Park-Strathcona,1.105241119351142e-05,48.04361290444639,486.96081153474677,2.3004954301612336e-07
Airdrie East,Calgary-Airdrie,1.0507165135261816e-05,709.2460846296134,1.0864236200343054,9.67133348493476e-06
Airdrie East,Calgary-Falconridge,1.0346018786962409e-05,709.2460846296134,73.0122719044777,1.4170246339544336e-07
Edmonton-Gold Bar,Stony Plain-Drayton Valley,9.441509051278777e-06,48.04361290444639,47.2995151548513,1.996111169505382e-07
Calgary-Elbow,Calgary-South East,9.159158761259334e-06,0.08417142562853133,9.159158761767736e-06,0.9999999999444925
Calgary-Lougheed,Canmore-Kananaskis,8.891312252062247e-06,191.58406567274588,15292.679449693007,4.6409455926517035e-08
Calgary-South,Peace River,8.545442919962141e-06,18.147033267152256,189737.2240808545,4.7090027301763713e-07
Calgary-Elbow,Peace River,8.101533597500211e-06,0.08417142562853133,189737.2240808545,9.625040252085333e-05
Edmonton-Beverly-Clareview,Edmonton-West Henday,7.799728168411804e-06,112.84927429760639,70.30062092177535,1.109482116394205e-07
Calgary-Peigan-Chestermere,Chestermere-Strathmore,7.503875227426155e-06,1.310426815383146e-05,1.0778946924705541,0.5726283329475483
Calgary-Lougheed,Peace River,7.003061885849729e-06,191.58406567274588,189737.2240808545,3.65534673317352e-08
Calgary-Nolan Hill-Cochrane,Peace River,5.693572281628496e-06,434.10454108275724,189737.2240808545,1.3115670864505143e-08
Calgary-Peigan-Chestermere,Highwood,5.600392925663897e-06,1.310426815383146e-05,994.3018716767326,0.42737166699587414
Edmonton-Ellerslie,Leduc,5.42660901370097e-06,45.22596219894718,158.57072069780597,1.1998880178224924e-07
Highwood,Peace River,4.775889405115314e-06,994.3018716767326,189737.2240808545,4.803258991217157e-09
Edmonton-Glenora-Riverview,Edmonton-West Henday,4.556543572179975e-06,46.92671716289253,70.30062092177535,9.709913345021029e-08
Calgary-De Winton,Peace River,4.2347274497413734e-06,439.57692317314894,189737.2240808545,9.633643684414522e-09
Edmonton-Spruce Grove,Peace River,2.9413251348394766e-06,68.42690394281647,189737.2240808545,4.298492208996488e-08
Calgary-Airdrie,Calgary-Falconridge,2.6483283475782365e-06,1.0864236200343054,73.0122719044777,2.437657188909987e-06
Edmonton-Mill Woods,Leduc,2.1568067834760914e-06,26.47713595044194,158.57072069780597,8.145921777616175e-08
Sherwood Park,Sherwood Park-Strathcona,1.5560100236536816e-06,62.108041702826284,486.96081153474677,2.505327782026774e-08
Calgary-Falconridge,Calgary-North,1.3861660545224676e-06,73.0122719044777,7.921564531550838,1.7498639934087517e-07
Edmonton-South,Peace River,1.2956146359960226e-06,46.918594628971384,189737.2240808545,2.7614097272981913e-08
