ed_name,ucp_2023,ndp_2023,other_2023,total_votes
Calgary-Acadia,12751.740014738569,11239.393485069886,832.3389971796348,24823.47249698809
Calgary-Beddington,12234.171791616258,12288.216493588803,308.7055164627712,24831.09380166783
Calgary-Bhullar-McCall,8708.422332729348,11892.132546669733,1.1899035758190506,20601.7447829749
Calgary-Bow,13540.492855468534,13970.421419235368,981.0682345940635,28491.982509297963
Calgary-Buffalo,3168.0867186699506,4123.308239771398,289.9517860895701,7581.346744530919
Calgary-Confluence,5973.589254888513,10747.983369621925,386.857167150118,17108.429791660557
Calgary-Cross,8722.27719906535,9547.566473002504,665.8628505548695,18935.70652262272
Calgary-Currie,15414.434641752188,16052.714456275196,1065.2654689271417,32532.414566954525
Calgary-East,5430.923092446158,6319.886511847674,458.3395328293038,12209.149137123137
Calgary-Edgemont,14719.305857461593,14809.662167076154,807.9498356416768,30336.917860179423
Calgary-Elbow,11755.071757101594,12289.699923889817,1048.9447231751087,25093.71640416652
Calgary-Falconridge-Conrich,1540.1429536419191,2379.334171135872,142.24376091360304,4061.7208856913944
Calgary-Fish Creek,22191.431705411618,19595.46721052534,1105.3316919962708,42892.230607933234
Calgary-Glenmore-Tsuut'ina,5830.272131115776,4514.084372371642,144.46932338502282,10488.82582687244
Calgary-Hays,16350.211733256385,11987.499561235274,664.1144925061842,29001.825786997844
Calgary-Klein,12031.652648312616,12994.397810854118,680.1486814347519,25706.199140601486
Calgary-Lougheed,2359.221766141975,1591.6356439106482,115.5253365834893,4066.382746636112
Calgary-McKenzie,7241.870029297174,5301.889131141636,301.07371734631886,12844.83287778513
Calgary-Mountain View,8467.999985842827,16515.999969467415,543.9999990774133,25527.999954387655
Calgary-North,2934.8774278376077,2911.0612474367445,4.851619589283078,5850.790294863636
Calgary-North East,7218.6971547105995,7996.641886472225,2.475951186559604e-09,15215.339041185302
Calgary-North West,9241.423562757805,8232.068120799551,510.9386307956174,17984.430314352976
Calgary-Nose Creek,10646.186666849111,11220.474692051372,700.7698399978228,22567.431198898306
Calgary-Shaw,13608.380873692853,10315.215976416208,230.11609005908144,24153.71294016814
Calgary-South East,14738.444987382964,10729.90916911118,488.95043170941494,25957.30458820356
Calgary-Symons Valley,183.00798963921906,186.53280323374716,4.75061698212765,374.2914098550939
Calgary-Varsity,9376.99999119349,13448.999984769685,253.0000001574933,23078.999976120667
Calgary-West-Elbow Valley,13240.250151769973,11668.738195226444,525.5512169096305,25434.539563906048
Edmonton-Beaumont,5425.674973490882,4420.804236202259,234.5059586599734,10080.985168353114
Edmonton-Beverly-Clareview,5689.999994597751,8510.000005464872,558.9999984527707,14758.999998515394
Edmonton-Castle Downs,12681.167617555398,17670.92630597542,1269.509728929498,31621.603652460315
Edmonton-City Centre,7330.8255345415155,21611.60316731649,922.3152042222567,29864.743906080264
Edmonton-Decore,3537.315926224164,6920.336379115069,403.7058250420891,10861.35813038132
Edmonton-Ellerslie,6422.919838410513,10461.82536608942,242.3351700647571,17127.08037456469
Edmonton-Enoch,27273.46033961041,27198.804222289436,2028.085118663945,56500.3496805638
Edmonton-Glenora-Riverview,1014.3084523740844,2383.1245166963636,121.81693700504418,3519.249906075492
Edmonton-Gold Bar,6874.688729469032,15410.872308451824,631.2090561009613,22916.770094021816
Edmonton-Highlands-Norwood,3349.9999841747776,9490.999938471603,440.99999777690914,13281.99992042329
Edmonton-Manning,3300.210388792747,5232.157002494224,162.00726624187826,8694.37465752885
Edmonton-McClung,672.0772151252239,1037.9076296281416,51.89634757825745,1761.881192331623
Edmonton-Meadows,6378.002104550515,11013.003591526918,212.99999965877564,17604.005695736207
Edmonton-Mill Woods,6868.997878297334,11062.996385029517,9.949380533655678e-07,17931.994264321787
Edmonton-North West,9244.131178292137,13848.939573401858,670.441540259084,23763.51229195308
Edmonton-Rutherford,8686.223840084142,18264.443353292725,890.8920842310902,27841.559277607957
Edmonton-South,7824.119139329743,11811.964671301897,309.93346013647033,19946.017270768112
