perturbation_idx,majority_eg_pct,minority_eg_pct,asymmetry_pp,majority_mm_pp,minority_mm_pp,majority_declination,minority_declination,majority_seats_at_50_ndp,minority_seats_at_50_ndp,majority_ndp_seats,minority_ndp_seats,majority_conservation_pass,minority_conservation_pass,majority_coverage_frac,minority_coverage_frac
0,-2.254582224291376,-2.413452248998442,-0.1588700247070661,-2.2331451088827334,-0.9606093816106109,-0.029973159757332724,-0.02648693828223885,48,46,39,37,True,True,0.8663286370336464,0.8475531768883963
1,1.0720894285038218,-2.425980716216884,-3.498070144720706,-2.543928490353947,-0.8265242567746411,-0.017011676449395604,-0.030314700781777913,46,44,38,37,True,True,0.8663536351358274,0.847504174792086
2,-2.3517264574517167,-2.5032175277538142,-0.1514910703020976,-2.433600321935475,-0.9728661235733072,-0.043807491862550015,-0.03092101942800727,48,44,40,37,True,True,0.8666479847307347,0.8475311095100264
3,0.611494615777874,-2.1977138806691934,-2.8092084964470674,-2.2977710266624927,-1.1177650994202037,-0.005809042040623258,-0.017451282268286447,46,45,37,36,True,True,0.8662877512801455,0.8475540017906136
4,0.47775181922446563,-2.387477614669651,-2.865229433894116,-2.89094319491775,-1.1115147500538047,-0.00629863103726221,-0.0175974530464188,47,45,37,36,True,True,0.8661167012832308,0.8475673088773388
5,1.0789983393053184,-1.233760425515251,-2.3127587648205696,-2.345790923847013,-1.0987375727147752,-0.016937012073091166,-0.0056366705752203625,49,45,38,35,True,True,0.8664272395089024,0.8475354365663146
6,1.2384637944771364,-2.1763613689395096,-3.414825163416646,-2.5708923238764836,-1.281704915467935,-0.015179026978209454,-0.027841684703893955,48,45,38,37,True,True,0.866156898854189,0.847474793096797
7,1.1328573384194698,-2.517519165100778,-3.6503765035202482,-2.5941249953564895,-0.9237238981741613,-0.017921690934146285,-0.029881686046739776,48,44,38,37,True,True,0.8662990768675835,0.8474955584128736
8,1.220463017758421,-2.5453720514010727,-3.7658350691594933,-2.7158814973645917,-1.2277136623028928,-0.004911082595189837,-0.016497483893498734,49,45,37,36,True,True,0.8662255325421614,0.8475171702476763
9,0.95569068028082,-2.803569211899316,-3.759259892180136,-2.5101427396453935,-0.9926877954872737,-0.017233068727210046,-0.030625605928053898,47,44,38,37,True,True,0.8661228027485023,0.8475662078583079
10,-1.973037467817746,-2.5045295518964177,-0.5314920840786715,-2.6588487688357256,-1.486717027215162,-0.029925828342497535,-0.025653063407480924,48,46,39,37,True,True,0.8662572391221455,0.8474887521135106
11,0.5052996911675439,-2.5060468733515204,-3.0113465645190645,-2.5241587970322055,-0.7533248452655128,-0.018610546452860928,-0.027593823142409383,47,44,38,37,True,True,0.8666437892071109,0.8475621329401197
12,0.7393159411841568,-2.518715683646655,-3.2580316248308123,-2.4692015582523483,-1.07878166689242,-0.01745140944456726,-0.041921159818856996,48,45,38,38,True,True,0.8665041747137865,0.8474637706950549
13,-2.0780621541585274,-2.513694107070275,-0.4356319529117476,-2.6470592682481477,-0.8457115145666549,-0.019325436862949016,-0.04215366697154537,47,44,38,38,True,True,0.8667563470988958,0.8474699088689044
14,-2.1438734310699434,-2.486121603572193,-0.3422481725022495,-2.3817479534194606,-1.145152216812162,-0.02991018462366341,-0.029980286459725065,48,45,39,37,True,True,0.8661973208938024,0.8475573362504942
15,0.856060308070746,-2.6353807638786395,-3.491441071949385,-2.5700123610601864,-0.9008031789032644,-0.003153364899469146,-0.016930620172897638,48,44,37,36,True,True,0.865947339288509,0.8475377242415326
16,0.5132717323349559,-2.6302701819966066,-3.1435419143315624,-2.6301937365407815,-1.068890979489412,-0.031150025810832895,-0.02950623407671938,48,45,39,37,True,True,0.8662781648930626,0.8475423611425532
17,-2.296952894446439,-2.2002543839212114,0.09669851052522722,-2.5953951380058737,-1.4101610410995558,-0.015706425712248163,-0.029560446463906875,47,45,38,37,True,True,0.8662648121517708,0.8475633310829808
18,-2.4069567403927428,-2.6470231889083338,-0.24006644851559122,-2.6212883650055585,-1.3914373460287122,-0.03068821282300737,-0.028600564658985854,48,46,39,37,True,True,0.8662259090221536,0.8475647896165351
19,0.8618717842195682,-2.312876058217554,-3.1747478424371223,-2.711758795175129,-0.9718047920704687,-0.03112270055545714,-0.031222897883011455,48,44,39,37,True,True,0.8664878964664114,0.847548968524196
20,1.034164470877389,-2.650704884204819,-3.6848693550822076,-2.732451387608764,-0.9536753947888721,-0.017736422541714793,-0.02869419514436996,47,45,38,37,True,True,0.8669920286262032,0.847543784700399
21,1.0122461758081678,-2.4744543056977504,-3.486700481505918,-2.3854867313051864,-1.1495169722812504,-0.003077902784098387,-0.02879195385440011,48,45,37,37,True,True,0.8661347960509949,0.847522347085986
22,0.9837911947143436,-2.253075052641528,-3.236866247355872,-2.5178619570357275,-0.9361207785922643,-0.016851860849999973,-0.01715779689863294,48,44,38,36,True,True,0.8665463270538079,0.847540730219718
23,1.1174099588456914,-2.6450988200768117,-3.762508778922503,-2.7162339364184165,-0.8818269514329402,-0.01594270816921815,-0.030350606758095262,47,44,38,37,True,True,0.8664136942911183,0.8475630612278829
24,-2.306214599333622,-2.662377336964354,-0.35616273763073164,-2.820451844189542,-1.3491557224763528,-0.01811914713250131,-0.030864417080444587,47,46,38,37,True,True,0.8664561276757233,0.8475886006006498
25,1.0289049100768068,-2.574674474347673,-3.6035793844244797,-2.7817596788412278,-0.9797294373478038,-0.01863098699961963,-0.019224872579376925,49,44,38,36,True,True,0.8665025607447031,0.8475663789983896
26,-2.284705111681669,-2.6941634606334364,-0.4094583489517675,-2.4394254997758935,-1.2546355653986319,-0.030364803841677706,-0.017339570025056247,47,45,39,36,True,True,0.8662429015942489,0.8475577918809066
27,-2.510280983657045,-2.8221344693105435,-0.31185348565349813,-2.4695522249591315,-1.1252791625937564,-0.031241329009976407,-0.02629894580012425,48,46,39,37,True,True,0.8661587442311635,0.8475640335853232
28,0.43292364215820306,-2.3255913328071824,-2.7585149749653857,-2.836052545966583,-1.5115121235689033,-0.03210890266664847,-0.01946815185186072,48,46,39,36,True,True,0.8663461621051936,0.8475298534940221
29,1.0286569216731407,-2.3723348237852395,-3.4009917454583802,-2.4933769440781903,-1.3061968076765962,-0.017228684771245905,-0.020023986123866532,48,45,38,36,True,True,0.8665456317607668,0.8474733613907033
30,0.8884669353190483,-2.4337165886866763,-3.322183524005725,-2.3070267481261117,-1.2881159896933558,-0.016861065108917914,-0.017324365105517544,48,45,38,36,True,True,0.8663161869113359,0.8474830397289459
31,0.47951467589383556,-2.1941990181885047,-2.6737136940823403,-2.536953796296287,-1.3874837784379312,-0.017108537107422207,-0.02962933664903237,49,46,38,37,True,True,0.8662938470736541,0.8475783080977275
32,0.6926066880380446,-2.192703693491417,-2.885310381529462,-2.405594811083817,-0.4493685509521783,-0.004115809537766076,-0.01792395904525063,47,44,37,36,True,True,0.8667383433691294,0.8475318948471863
33,-2.233092476187439,-2.576271971088642,-0.3431794949012034,-2.6987085780883993,-1.0324890298937517,-0.016300638811401254,-0.02761221110372777,48,45,38,37,True,True,0.8663633634323505,0.8474826313350108
34,1.1711456510602543,-2.4499704889879466,-3.621116140048201,-2.640685759338429,-0.7976485882880302,-0.017559278217464655,-0.028278471508849566,48,44,38,37,True,True,0.8662420367850306,0.8475791703103991
