ed_name,ucp_2023,ndp_2023,other_2023,total_votes
Calgary-Acadia,24420.568158355112,21986.943174022606,1188.3476408250895,47595.858973202805
Calgary-Airdrie,16048.609193306385,9892.97830033709,690.3088013420794,26631.896294985556
Calgary-Beddington,11041.33882719641,11685.97046294467,678.1172033846779,23405.426493525756
Calgary-Bow-Springbank,4491.598470273494,4897.325107881214,317.49735771386815,9706.420935868575
Calgary-Buffalo,7285.159838077688,13209.801566911938,473.5545891791303,20968.515994168756
Calgary-Cross,7548.729591702168,7038.179390948544,457.7449380495314,15044.653920700242
Calgary-Currie,19168.955228808212,19467.87789189756,1440.5618351601177,40077.394955865886
Calgary-De Winton,12850.23141079692,8496.268702530679,287.39741767961425,21633.897531007213
Calgary-East,7713.542030670175,6780.666193482323,655.9703787661628,15150.17860291866
Calgary-Edgemont,11812.565751787703,12314.107109142966,620.9377491906055,24747.61061012127
Calgary-Elbow,11456.773741353836,12184.936164772731,1231.8660417601584,24873.575947886726
Calgary-Falconridge,20140.469673663243,21304.04796039538,695.0241349189097,42139.54176897753
Calgary-Fish Creek,1196.5476896089299,979.2458299790269,55.32466476260362,2231.1181843505606
Calgary-Foothills-Airdrie West,11004.289765172172,11132.559490574602,305.4767034132693,22442.325959160047
Calgary-Glenmore,12632.666898806114,12680.485497404723,421.80912358682434,25734.96151979766
Calgary-Hays,9914.357227934765,7710.887364872275,375.68439646111904,18000.928989268155
Calgary-Klein,9665.883949070443,10527.66862404911,504.4511346223302,20698.003707741882
Calgary-Lougheed,12095.995094835665,10326.7876965651,542.3915541968433,22965.174345597607
Calgary-McCall-Bhullar,5288.779159114983,7286.394728366964,3.8622775388895927,12579.036165020836
Calgary-Mountain View,8483.306091405166,16533.896263633,544.6405202312502,25561.842875269413
Calgary-Nolan Hill-Cochrane,416.29342170859184,329.7010313271419,11.029235423949158,757.0236884596828
Calgary-North,1195.3009110491985,1186.3924055381144,0.0,2381.693316587313
Calgary-North East,3342.321619940394,4469.848242239489,0.0,7812.169862179883
Calgary-North West-Bearspaw,11906.1575709199,11763.437450937085,974.8215861909683,24644.41660804795
Calgary-Peigan-Chestermere,11853.520895186839,9064.348498743564,624.24793222906,21542.117326159463
Calgary-South,8485.048209449978,5685.758427516806,239.08260933964772,14409.889246306431
