ed_2026,ucp,ndp,other,n_va_intersections,total
Airdrie-East,8087.000000000012,4474.000000000008,360.0000000000006,73,12921.00000000002
Airdrie-West,251.80952380955625,82.0952380952552,9.142857142859004,3,343.0476190476704
Barrhead-Westlock-Athabasca,11724.29999999997,3421.299999999994,139.3999999999984,65,15284.999999999962
Calgary-Acadia,11615.383333324868,10894.529761889715,895.9738095231846,124,23405.886904737767
Calgary-Beddington,5858.834456079089,5578.690923718563,298.1428905111777,65,11735.668270308828
Calgary-Bhullar-McCall,2835.0,3956.0,0.0,35,6791.0
Calgary-Bow,8378.952380952347,7769.38095238092,648.0952380952343,85,16796.4285714285
Calgary-Buffalo,2470.9269841269534,3923.146031745964,162.225396825394,48,6556.298412698312
Calgary-Confluence,678.9039678852497,1090.842062833198,46.30079362359419,16,1816.046824342042
Calgary-Cross,5842.766666666666,5797.066666666667,485.4,68,12125.233333333332
Calgary-Currie,7801.2499999791335,7871.483333310956,634.4166666640306,78,16307.14999995412
Calgary-East,2434.2619047618914,2277.9107142856897,257.66666666666595,39,4969.839285714247
Calgary-Edgemont,9397.333333333208,8893.333333333225,620.6666666666616,104,18911.333333333092
Calgary-Elbow,6617.500000577045,6334.500000842001,677.1666667031681,86,13629.166668122214
Calgary-Falconridge-Conrich,944.6333333333333,1416.9333333333334,91.0,16,2452.5666666666666
Calgary-Fish Creek,9140.333333154413,7109.999999854401,422.99999999396357,67,16673.333333002778
Calgary-Glenmore-Tsuut'ina,3401.133333333321,2130.299999999993,86.46666666666611,33,5617.8999999999805
Calgary-Hays,5720.024659832542,3662.2782025344336,337.5930222723689,45,9719.895884639345
Calgary-Klein,6913.790476190474,6922.571428571431,489.76666666666654,71,14326.128571428571
Calgary-Lougheed,5286.0,3618.3333333333335,328.3333333333333,44,9232.666666666668
Calgary-McKenzie,146.60000000000522,76.40000000000299,5.000000000000238,4,228.00000000000844
Calgary-Mountain View,4732.000000000004,8004.0,315.00000000000006,76,13051.000000000004
Calgary-North,3897.9981808707616,3554.5696483121997,2.428520898322496,42,7454.996350081284
Calgary-North East,5017.3258377197535,5313.333948695095,22.332895476859477,65,10352.99268189171
Calgary-North West,1230.1476190476276,939.0690476190517,83.35476190476261,16,2252.571428571442
Calgary-Nose Creek,406.1666666666667,382.8333333333333,33.0,4,822.0
Calgary-Shaw,8080.0,5763.0,159.0,66,14002.0
Calgary-South East,10709.742857142857,7008.342857142857,401.1714285714286,85,18119.257142857143
Calgary-Symons Valley,277.6899295861332,157.5754356593485,8.096395808713782,10,443.3617610541955
Calgary-Varsity,4732.000000000017,6298.000000000018,121.0000000000017,48,11151.000000000038
Calgary-West-Elbow Valley,4060.983333333326,3529.0166666666573,175.7499999999998,33,7765.749999999984
Camrose,7715.0,2903.0,1313.0,59,11931.0
Canmore-Banff,4484.4,3571.775,334.125,47,8390.3
Central Peace-Notley,5989.0,1287.0,277.0,49,7553.0
Chestermere-Strathmore,6970.999999999999,2882.9999999999995,311.9999999999999,56,10165.999999999998
Cochrane-Springbank,8218.17540526815,4809.568138852975,440.85644016207317,76,13468.599984283197
Cold Lake-Bonnyville-St. Paul,7793.0,2347.0,0.0,61,10140.0
Drumheller-Stettler,9715.00000000009,1465.000000000019,423.0000000000171,56,11603.000000000126
Edmonton-Beaumont,2550.1999999999994,1963.7999999999995,107.39999999999998,21,4621.399999999999
Edmonton-Beverly-Clareview,3507.0,4717.0,375.0,46,8599.0
Edmonton-Castle Downs,3864.9999999756355,4637.999999974201,360.9999999970505,50,8863.999999946886
Edmonton-City Centre,4333.233333333248,11410.11666666653,554.7166666666369,107,16298.066666666415
Edmonton-Decore,3535.3333333325504,4223.416666664835,529.7499999999241,54,8288.49999999731
Edmonton-Ellerslie,3956.0,5781.0,159.0,44,9896.0
Edmonton-Enoch,4363.566666650587,6833.149999978612,473.6333333323104,51,11670.34999996151
Edmonton-Glenora-Riverview,592.5833333333273,1209.1666666666554,64.74999999999974,10,1866.4999999999825
Edmonton-Gold Bar,3718.0,7604.0,381.0,53,11703.0
Edmonton-Highlands-Norwood,2055.0,4823.0,267.0,45,7145.0
Edmonton-Manning,3938.0,5162.0,196.0,58,9296.0
Edmonton-McClung,3493.99999997341,4864.999999967887,287.99999999850087,42,8646.999999939799
Edmonton-Meadows,3764.999999999997,6004.9999999999945,144.99999999999986,51,9914.99999999999
Edmonton-Mill Woods,4144.000000000004,6020.0000000000055,1.4611631929609868e-13,48,10164.00000000001
Edmonton-North West,6259.966666772327,8029.283333476971,356.86666667643027,94,14646.116666925729
Edmonton-Rutherford,4813.683333333322,9121.399999999987,517.7999999999996,67,14452.883333333308
Edmonton-South,5465.999999999997,7299.999999999996,226.9999999999999,84,12992.999999999993
Edmonton-Strathcona,1759.0,6852.0,291.0,45,8902.0
Edmonton-West Henday,3739.499999932764,4130.9999999029105,277.7499999941986,39,8148.249999829873
Edmonton-Whitemud,3803.999999941864,5475.999999921812,320.9999999945751,46,9600.999999858252
Edmonton-Windermere,4919.600000104266,6003.000000135149,182.60000000810487,84,11105.200000247518
Fort McMurray-Lac La Biche,4803.0,1384.0,130.0,46,6317.0
Fort McMurray-Wood Buffalo,3679.0,1029.0,657.0,36,5365.0
Fort Saskatchewan-Vegreville,8585.0,4711.0,738.0,74,14034.0
Grande Prairie,6485.0,2614.0,462.0,45,9561.0
Grande Prairie-Wapiti,10015.0,2299.0,444.0,69,12758.0
High River-Vulcan-Siksika,3010.0074830245985,1006.0206069893743,110.65221582286907,26,4126.680305836842
Lacombe-Clearwater,9079.107142857054,2552.285714285695,1481.6785714285543,56,13113.071428571304
Leduc-Devon,4820.8,2918.2000000000003,281.6,40,8020.6
Lesser Slave Lake,2910.0,1532.0,76.0,51,4518.0
Lethbridge-East,5899.999999984314,4625.999999987009,283.99999999942975,64,10809.99999997075
Lethbridge-West,5662.999999987604,5650.999999986696,477.99999999880464,55,11791.999999973104
Livingstone-Macleod,11020.285714277728,3457.857142856519,1290.4285714269295,102,15768.571428561178
Lloydminster-Wainwright,8314.0,1687.0,892.0,57,10893.0
Medicine Hat-Brooks,8357.25,3095.5,758.5,72,12211.25
Medicine Hat-Cypress,8681.0,4676.0,439.0,52,13796.0
Mountain View-Kneehill,12733.700000000003,2947.4000000000005,1269.0,63,16950.100000000002
Okotoks-Diamond Valley,5580.624999999997,2369.1249999999986,215.2499999999999,45,8164.999999999996
Peace River,4072.0,1531.0,276.0,60,5879.0
Red Deer-North,6098.000000000046,3530.000000000033,454.0000000000028,51,10082.000000000084
Red Deer-South,8376.999999999953,5664.999999999966,368.9999999999972,58,14410.999999999916
Sherwood Park,6366.0,6403.0,897.0,51,13666.0
Spruce Grove,8143.785714285691,5244.857142857125,427.14285714285614,68,13815.785714285672
St. Albert,5660.999999999926,7079.9999999999,291.9999999999957,56,13032.999999999822
St. Albert-Sturgeon,5797.533333316777,3292.9666666445532,378.1333333322735,43,9468.633333293603
Stony Plain-Drayton Valley,15348.561904761928,4548.280952380969,1107.54761904762,100,21004.390476190514
Strathcona-Sherwood Park,7909.0,5882.0,411.0,53,14202.0
Sylvan Lake-Innisfail,13347.0,3233.375,1717.225,95,18297.6
Taber-Cardston,9555.464285750355,1834.6428571697757,955.0714285748361,90,12345.178571494967
West Yellowhead,8862.00000000003,2780.000000000006,66.50000000000158,70,11708.500000000036
Wetaskiwin-Ponoka-Maskwacis,7382.8452380952385,2666.976190476191,669.1309523809524,51,10718.952380952382
