ed_2026,ucp,ndp,other,n_va_intersections,total
Airdrie East,6658.742857142858,3652.0095238095246,305.4952380952381,60,10616.24761904762
Barrhead-Westlock-Athabasca,8202.90909090909,2412.5454545454545,0.0,43,10615.454545454544
Calgary-Acadia,14305.599999999818,12083.649999999863,831.2999999999927,116,27220.549999999672
Calgary-Airdrie,9101.99873844979,5184.999497144319,477.99996250637463,83,14764.998198100484
Calgary-Beddington,5108.999999999986,4930.999999999986,391.9999999999988,49,10431.99999999997
Calgary-Bow-Springbank,6357.001123037997,6386.2385428826665,632.928604805575,77,13376.168270726239
Calgary-Buffalo,4798.999999622896,6850.99999932614,299.9999999721814,77,11949.999998921217
Calgary-Cross,4098.0,3778.0,298.0,44,8174.0
Calgary-Currie,5567.19999997918,6332.599999977665,561.1999999973654,60,12460.99999995421
Calgary-De Winton,3168.6363636363194,2224.227272727241,70.63636363636259,33,5463.499999999923
Calgary-East,4460.999999999933,3930.999999999931,458.9999999999939,70,8850.999999999858
Calgary-Edgemont,6786.499999999964,7483.749999999956,353.99999999999676,80,14624.249999999916
Calgary-Elbow,7481.969697394865,6485.3939401120515,687.9696970006008,94,14655.333334507517
Calgary-Falconridge,4283.857142857153,4578.85714285715,361.5714285714291,58,9224.285714285734
Calgary-Fish Creek,106.0,125.0,10.0,1,241.0
Calgary-Foothills-Airdrie West,4865.114424226501,4551.990531401595,156.93333744995593,56,9574.038293078052
Calgary-Glenmore,6260.999999995716,5784.999999996267,236.99999999989464,49,12282.999999991878
Calgary-Hays,6306.9999999999445,4323.999999999968,285.99999999999744,49,10916.99999999991
Calgary-Klein,10688.833333333467,9054.33333333345,713.8333333333429,94,20457.000000000262
Calgary-Lougheed,11688.766666666668,8238.150000000001,595.0833333333335,96,20522.000000000004
Calgary-McCall-Bhullar,837.5000000000017,1197.2500000000027,0.0,11,2034.7500000000045
Calgary-Mountain View,4732.000000000004,8004.0,315.00000000000006,76,13051.000000000004
Calgary-Nolan Hill-Cochrane,569.7857142857143,449.82142857142856,11.821428571428571,7,1031.4285714285716
Calgary-North,3811.000000000002,3473.000000000002,6.76172607805881e-14,38,7284.000000000004
Calgary-North East,4576.0,5096.0,0.0,59,9672.0
Calgary-North West-Bearspaw,177.33333333333331,154.33333333333331,19.166666666666664,2,350.8333333333333
Calgary-Peigan-Chestermere,146.16666666666666,105.66666666666667,5.166666666666667,1,257.0
Calgary-South,1352.5939393712379,973.6287878607874,23.893939393603755,14,2350.116666625629
Calgary-South East,7011.999999999969,4396.999999999983,224.99999999999872,56,11633.99999999995
Calgary-Varsity,4732.000000000017,6298.000000000018,121.0000000000017,48,11151.000000000038
Calgary-West-Tsuut'ina,5044.8,3344.6,128.0,42,8517.4
Camrose,8746.5,3226.0,1390.5,65,13363.0
