map,OBJECTID,parent_ed_2019,VA_NUMBER,ed_2026,area_weight,va_ndp_full_share,va_ucp_full_share,va_other_full_share,fallback
majority,1,Fort Saskatchewan-Vegreville,024,Fort Saskatchewan-Vegreville,1.0000000000000007,120.36811823104702,211.88932761732866,20.202391696750915,False
majority,2,Lesser Slave Lake,046,Lesser Slave Lake,0.9999999999999998,21.651958577217464,96.10333183250785,1.0256641152633947,False
majority,3,Edmonton-Highlands-Norwood,003,Edmonton-Decore,0.5000000073457108,110.59443314558035,46.464179949853694,5.6281986869316585,False
majority,3,Edmonton-Highlands-Norwood,003,Edmonton-Highlands-Norwood,0.49999999265428924,110.59442989600153,46.464178584604,5.628198521559182,False
majority,4,Edmonton-City Centre,048,Edmonton-City Centre,1.0,195.34643687594036,49.868499521269314,8.493749145123786,False
majority,5,Lesser Slave Lake,018,Barrhead-Westlock-Athabasca,3.239546705695474e-11,2.7314440064928544e-09,4.442540195560129e-09,1.5967275005514793e-10,False
majority,5,Lesser Slave Lake,018,Lesser Slave Lake,0.9999999999734583,84.31562359073826,137.134624039584,4.928860873349595,False
majority,6,Edmonton-City Centre,039,Edmonton-City Centre,1.0,206.76072014772262,61.16747025030776,8.12941116126385,False
majority,7,Strathcona-Sherwood Park,027,Strathcona-Sherwood Park,1.0,181.55792908418533,189.1479225581901,8.349836850119644,False
majority,8,Strathcona-Sherwood Park,028,Strathcona-Sherwood Park,1.0000000000000007,181.55792908418545,189.1479225581902,8.34983685011965,False
majority,9,Airdrie-Cochrane,013,Cochrane-Springbank,0.9999999996881163,158.45549895566987,240.2407882541232,11.613234805245224,False
majority,10,Calgary-Beddington,047,Calgary-Klein,0.5000000099224253,106.94334873582056,96.98972304028439,7.467968275690752,False
majority,10,Calgary-Beddington,047,Calgary-Nose Creek,0.4999999900775747,106.94334449127109,96.98971919079133,7.467967979289328,False
majority,11,Calgary-Beddington,046,Calgary-Bhullar-McCall,1.9414313329576596e-06,0.0004152463279337786,0.0003765977670970607,2.899709463247661e-05,False
majority,11,Calgary-Beddington,046,Calgary-Falconridge-Conrich,0.00043772143585090714,0.09362279046876505,0.08490895997894456,0.006537779463307501,False
majority,11,Calgary-Beddington,046,Calgary-Klein,0.4335032080441628,92.72056767190195,84.09071050178868,6.474776281676983,False
majority,11,Calgary-Beddington,046,Calgary-Nose Creek,0.5660571290886534,121.07208751839302,109.80344617154101,8.454593196745156,False
majority,12,Calgary-Mountain View,010,Calgary-Buffalo,0.43671149227577166,119.0848598062783,60.99131354629378,3.834111563914041,False
majority,12,Calgary-Mountain View,010,Calgary-Mountain View,0.5632885077242283,153.60056732940006,78.66911358938461,4.945395345633697,False
majority,13,Calgary-Currie,009,Calgary-Buffalo,0.8632417454409868,266.91436451111974,155.5214024141448,18.02271557703925,False
majority,13,Calgary-Currie,009,Calgary-Confluence,4.728332225620102e-09,1.4620004162960346e-06,8.518550715278211e-07,9.871787052254616e-08,False
majority,15,Calgary-Edgemont,048,Calgary-Beddington,0.020775393463803807,3.4038681636931982,3.623383320655816,0.17964821875664566,False
majority,15,Calgary-Edgemont,048,Calgary-Edgemont,0.446337725703232,73.12856805448399,77.84462294349422,3.8595551764725484,False
majority,16,Fort McMurray-Lac La Biche,002,Fort McMurray-Lac La Biche,0.9999999979906821,67.55454972687659,196.674298762551,5.9666145741505705,False
majority,16,Fort McMurray-Lac La Biche,002,Fort McMurray-Wood Buffalo,2.009549111717131e-09,1.3575418566886893e-07,3.9522666317001e-07,1.19902050415349e-08,False
majority,17,Calgary-Falconridge,003,Calgary-Cross,1.0000000000000002,185.25291415446455,146.39227677289696,15.901636520241173,False
majority,18,Vermilion-Lloydminster-Wainwright,017,Lloydminster-Wainwright,0.9999999998223909,52.26592339837633,352.8021697203608,34.02564742921321,False
majority,19,Morinville-St. Albert,017,St. Albert-Sturgeon,1.0,195.6150357444846,250.75286340225998,12.414416393046572,False
majority,20,Edmonton-Beverly-Clareview,004,Edmonton-Beverly-Clareview,0.49999998682742236,94.52121589503784,64.04314438929737,5.721303351216896,False
majority,20,Edmonton-Beverly-Clareview,004,Edmonton-Decore,0.5000000000206637,94.52121838912032,64.04314607917073,5.721303502181972,False
majority,20,Edmonton-Beverly-Clareview,004,Edmonton-Highlands-Norwood,1.3151914030457374e-08,2.4862698765128435e-06,1.6845799028769341e-06,1.5049218359948455e-07,False
majority,21,Edmonton-Manning,047,Edmonton-Castle Downs,0.50000000000235,56.05628815655162,36.12656898673879,1.284884004890044,False
majority,21,Edmonton-Manning,047,Edmonton-Manning,0.49999999999764994,56.056288156024685,36.12656898639919,1.284884004877966,False
majority,22,Calgary-North West,015,Calgary-Bow,1.0000000000000002,251.45859731021454,249.02045126153172,20.124708236078693,False
majority,23,Bonnyville-Cold Lake-St. Paul,047,Cold Lake-Bonnyville-St. Paul,0.999999999999999,76.30374753451669,204.10082182774465,0.0,False
majority,24,Brooks-Medicine Hat,052,Medicine Hat-Brooks,1.0,121.87505873508128,212.78183441405884,19.254017479560193,False
majority,25,Brooks-Medicine Hat,051,Medicine Hat-Brooks,0.9999999999999972,123.05465383221198,227.62237705908348,18.157369742371102,False
majority,26,Morinville-St. Albert,019,St. Albert-Sturgeon,0.9999999999999994,195.6150357444845,250.75286340225983,12.414416393046565,False
majority,27,Morinville-St. Albert,018,St. Albert-Sturgeon,1.0000000000000004,195.6150357444847,250.7528634022601,12.414416393046578,False
majority,28,Sherwood Park,048,Sherwood Park,0.9999999935876293,247.6247615102665,229.28337232566196,24.661085283167136,False
majority,28,Sherwood Park,048,Strathcona-Sherwood Park,3.47173899407769e-10,8.596885459470221e-08,7.960120295009583e-08,8.561685196285378e-09,False
majority,29,Calgary-Hays,011,Calgary-Hays,0.9999999999999999,191.57210046091615,229.52197750513992,8.669793192415709,False
majority,30,Calgary-Hays,022,Calgary-Hays,0.9999999999999999,176.89673596086917,231.12023328003008,6.802144671244473,False
majority,31,Calgary-Fish Creek,005,Calgary-Fish Creek,0.7125181714851779,165.41234107705975,192.42180410670747,7.646000393588028,False
majority,31,Calgary-Fish Creek,005,Calgary-Hays,0.08670220242795332,20.128068102812215,23.414692956443123,0.9303974276294936,False
majority,32,Banff-Kananaskis,044,Canmore-Banff,1.0000000000000002,200.22705614253164,125.98984876735037,7.715972653822252,False
majority,33,Edmonton-Meadows,034,Edmonton-Gold Bar,0.499999999999999,74.0510542476969,46.279713408392944,2.070501535312176,False
majority,33,Edmonton-Meadows,034,Edmonton-Meadows,0.5000000000000011,74.05105424769721,46.279713408393135,2.0705015353121845,False
majority,34,Calgary-Lougheed,039,Calgary-Fish Creek,0.03216970844834379,3.508043816537137,5.346620467107392,0.3037788340190025,False
majority,34,Calgary-Lougheed,039,Calgary-West-Elbow Valley,0.5376464705525726,58.62929654875597,89.3570928110923,5.077000253239817,False
majority,35,Edmonton-South West,073,Edmonton-Windermere,0.9999999999999999,148.19285002136442,103.16026919242272,2.884952285999145,False
majority,36,Calgary-Elbow,011,Calgary-Elbow,1.0000000000000002,182.79586373543071,172.18826400075812,19.506325215578514,False
majority,37,Leduc-Beaumont,021,Edmonton-Beaumont,0.5,87.27913980249735,114.06534726189504,5.330645556190321,False
majority,37,Leduc-Beaumont,021,Leduc-Devon,0.5,87.27913980249735,114.06534726189504,5.330645556190321,False
majority,38,Central Peace-Notley,048,Central Peace-Notley,0.9999999999739885,29.87520615645214,191.32325453048244,8.32875206135565,False
majority,38,Central Peace-Notley,048,Peace River,2.4309126277473847e-11,7.262401590416498e-10,4.650901154319745e-09,2.0246468559853148e-10,False
majority,39,Banff-Kananaskis,009,Calgary-Glenmore-Tsuut'ina,0.06137434499710547,12.908047022901174,11.393227868591794,0.5091959977774148,False
majority,39,Banff-Kananaskis,009,Calgary-West-Elbow Valley,0.41167405367547727,86.58191045789599,76.4211219090453,3.415478902956013,False
majority,39,Banff-Kananaskis,009,Canmore-Banff,0.5269516013274171,110.82669882746879,97.82067197500432,4.371886110246475,False
majority,40,Highwood,032,Calgary-Hays,0.3546130029046042,40.26413940035562,110.2579046501331,3.128904548456867,False
majority,40,Highwood,032,High River-Vulcan-Siksika,0.6453869970953959,73.2797494885333,200.66669130946292,5.694529794977477,False
majority,41,Highwood,002,High River-Vulcan-Siksika,0.9999999997741201,62.386666652574775,155.99982680458965,5.9529004315557925,False
majority,42,Edmonton-Whitemud,009,Edmonton-Enoch,0.2652611671601147,65.54172772252166,46.70749883389362,2.4441377370658275,False
majority,42,Edmonton-Whitemud,009,Edmonton-Glenora-Riverview,0.2810005617355786,69.43067658309765,49.47890997428088,2.589161785072221,False
majority,42,Edmonton-Whitemud,009,Edmonton-McClung,3.08917855396507e-09,7.63285865918016e-07,5.439461993316153e-07,2.8463939750830452e-08,False
majority,42,Edmonton-Whitemud,009,Edmonton-Rutherford,0.021401815919904962,5.288041241797172,3.7684569619599895,0.1971980538711933,False
majority,42,Edmonton-Whitemud,009,Edmonton-Whitemud,0.43233645209522314,106.82331805711371,76.12631184683885,3.9835828552969343,False
majority,43,Bonnyville-Cold Lake-St. Paul,029,Barrhead-Westlock-Athabasca,2.067930036964087e-10,1.676513930397894e-08,4.1324138946627006e-08,0.0,False
majority,43,Bonnyville-Cold Lake-St. Paul,029,Cold Lake-Bonnyville-St. Paul,0.9999999997932083,81.07208174762442,199.83335122279658,0.0,False
majority,44,Cypress-Medicine Hat,031,Medicine Hat-Cypress,1.0000000000000002,193.48269321953538,312.49424771031426,13.393376756257647,False
majority,45,Cypress-Medicine Hat,030,Medicine Hat-Cypress,1.0000000000000002,193.48269321953538,312.49424771031426,13.393376756257647,False
majority,46,Edmonton-West Henday,047,Edmonton-West Henday,0.9999999996946368,174.0404106364876,114.22925291592178,10.030792576729793,False
majority,46,Edmonton-West Henday,047,Stony Plain-Drayton Valley,2.0679199099509364e-10,3.599016304011301e-08,2.3621694647578767e-08,2.0742875688341704e-09,False
majority,47,Drayton Valley-Devon,026,Stony Plain-Drayton Valley,0.9999999981328734,62.70029616797201,212.22851893824068,11.535364257121895,False
majority,48,Camrose,035,Camrose,0.9999999991917619,85.57838883018557,270.8198654180817,36.769385290806476,False
majority,49,Taber-Warner,018,Lethbridge-East,1.9186112724041393e-10,1.2390060928736493e-08,4.1602832553259526e-08,3.5717792870707373e-09,False
majority,49,Taber-Warner,018,Taber-Cardston,0.9999999987942476,64.57827644404294,216.8382574494409,18.61648231790275,False
majority,50,Airdrie-Cochrane,057,Calgary-North,0.10767225551890065,9.827069731652974,27.928586876400974,1.1364558999949705,False
majority,50,Airdrie-Cochrane,057,Calgary-North East,0.3378682018744726,30.836675278394377,87.63800278306769,3.5661211849837597,False
majority,50,Airdrie-Cochrane,057,Cochrane-Springbank,0.5544595426066268,50.604610837926344,143.81858567475126,5.852192985714908,False
majority,51,Edmonton-Decore,021,Edmonton-Castle Downs,1.0000000000000002,204.10998036064993,146.39171576504197,27.931083735047316,False
majority,52,Edmonton-South West,004,Edmonton-Enoch,0.07516876761346088,15.582722848733827,11.1197652560569,0.4250407847271811,False
majority,52,Edmonton-South West,004,Edmonton-Glenora-Riverview,0.05395144900233741,11.184305713433972,7.981073352367758,0.3050677422176535,False
majority,52,Edmonton-South West,004,Edmonton-West Henday,1.372545530875028e-07,2.8453302194439245e-05,2.0304156355288167e-05,7.761040230390007e-07,False
