perturbation_idx,majority_eg_pct,minority_eg_pct,asymmetry_pp,majority_mm_pp,minority_mm_pp,majority_declination,minority_declination,majority_seats_at_50_ndp,minority_seats_at_50_ndp,majority_ndp_seats,minority_ndp_seats,majority_conservation_pass,minority_conservation_pass,majority_coverage_frac,minority_coverage_frac
0,-2.1732951871121604,1.7430072286537577,3.916302415765918,-1.3379666166282111,-2.146681235278214,-0.045112055981840433,-0.016588319667688662,49,45,40,34,True,True,0.9165204233588866,0.8946858784468429
1,-5.660949032613502,0.7861432159868784,6.447092248600379,-1.434871951141059,-1.5359932285599176,-0.05791902553926884,-0.010547663761990128,49,44,41,34,True,True,0.9163583840826551,0.8955712236565022
2,-2.374283272841949,0.4743586162590554,2.8486418891010046,-1.2899742254030067,-1.915718157278784,-0.044986825350409015,-0.026268548045352107,49,46,40,35,True,True,0.9165340102157281,0.895556624854092
3,-5.482908145573035,2.1380717373817033,7.620979882954737,-1.6226374727229653,-1.4624737203323634,-0.059257723300398336,-0.011300924440087078,49,44,41,34,True,True,0.9164201057215488,0.8947679998130784
4,-2.2107519962994497,0.6716272313922665,2.882379227691716,-1.48227395371891,-1.7916658453018597,-0.031097032624813135,-0.02392984337214566,49,46,39,35,True,True,0.9164923529119303,0.8952408476785443
5,-5.559561252804729,0.6554517152018371,6.215012968006566,-1.3531573399750085,-1.9170449592644911,-0.05766258788774125,-0.03323595545037967,49,47,41,36,True,True,0.9164435455850333,0.895108788618002
6,-2.512514112787697,0.7338667372846018,3.2463808500722986,-1.6354274803963065,-1.7016178552978656,-0.05813767397406725,-0.035438307920265935,49,46,41,36,True,True,0.9163524400125831,0.8955180292076188
7,-5.401325244458101,2.5414580414907912,7.9427832859488925,-1.7062630434866166,-1.9966626061618975,-0.058561722410816267,-0.010015594014912168,49,46,41,34,True,True,0.9165670015095944,0.8949408599757801
8,-2.5358951228113535,0.5561724978444829,3.0920676206558366,-1.0333069024477726,-1.848789225634151,-0.044950920392769066,-0.03861523801776298,49,46,40,36,True,True,0.9161996860048431,0.8951320698336891
9,-2.3005873570266226,0.5803771156355705,2.880964472662193,-1.4226642273815482,-1.5630646202978826,-0.04586628557866503,-0.02417142344067327,49,45,40,35,True,True,0.9167079720779108,0.8947579209286779
10,-2.160460702505753,0.299418686547601,2.4598793890533543,-1.538997447673096,-1.936769394586313,-0.045300805067318796,-0.0355803667204238,49,45,40,36,True,True,0.9165399244942399,0.8952001488674307
11,-2.3313875108659,0.6614884253422875,2.9928759362081876,-1.3802322121094224,-1.8793837620129927,-0.04626438236982912,-0.0354199432391477,49,45,40,36,True,True,0.9162955215253772,0.8951911710495367
12,-2.5211703420980816,0.5982520823279059,3.1194224244259874,-1.2059823415941862,-1.5760652117047802,-0.045439061705577495,-0.03416506624205609,49,45,40,36,True,True,0.9164700080683181,0.8954999364001227
13,-2.397757947421474,0.49791679806362843,2.8956747454851026,-1.3404551065303916,-1.5388774369658464,-0.03297258195651287,-0.023208509391636035,49,45,39,35,True,True,0.9163132138013107,0.895338005336389
14,-5.450729292210566,2.234303023809539,7.685032316020105,-1.635887280687781,-1.767440663025549,-0.04538831546827033,-0.011890714292742108,49,48,40,34,True,True,0.9164008959361988,0.8955678660817328
15,-2.3589598021066953,0.9584208124919363,3.317380614598632,-1.4161431855412743,-2.0534300042908016,-0.044834113056420155,-0.022569872140341708,49,46,40,35,True,True,0.91637170915971,0.8955293095508189
16,-2.2320855386617287,0.5206570612952173,2.752742599956946,-1.8485944261629195,-2.0081941539736023,-0.03223211202873675,-0.02404246533519248,49,48,39,35,True,True,0.916339335228945,0.8952599087551374
17,-2.463515162218959,0.4194443510651337,2.8829595132840926,-1.346070782358988,-1.3364884646269948,-0.04646683615992038,-0.037346327690602366,48,44,40,36,True,True,0.9164445676386341,0.8955718027056359
18,-5.809281179034562,0.3877972530359797,6.197078432070541,-1.376075086423162,-1.5163242243299235,-0.05842509445431671,-0.03783162593959719,49,44,41,36,True,True,0.9163213688088917,0.895514949343432
19,-5.3008252832653735,0.866434362449232,6.167259645714605,-1.4851177796133208,-1.883351694689378,-0.058961074918869476,-0.010354140258830536,49,45,41,34,True,True,0.9166261650435644,0.8953133018285208
20,-5.464269166287478,0.5568764751961248,6.021145641483602,-1.3230275345739562,-1.8005812285470046,-0.05911941376830787,-0.02417711554824038,49,46,41,35,True,True,0.9165046306005028,0.8955231735685331
21,-2.286289437759316,2.142338414633637,4.428627852392953,-1.1594148436421314,-1.683466009091833,-0.045150491029235205,-0.01151650446391222,48,45,40,34,True,True,0.9163553625753451,0.8954222464827059
22,-2.7863363836122734,0.7650455009669153,3.551381884579189,-1.356742134050759,-1.8877700141917086,-0.04583976257811501,-0.034785646020229426,49,46,40,36,True,True,0.9164219029213297,0.8955058217770897
23,-2.447865912497312,0.8923380368654751,3.340203949362787,-1.816375337320142,-1.9073864333706059,-0.045767724814051156,-0.009177619874945343,49,46,40,34,True,True,0.916397127445641,0.8955294185575382
