ed_name,ucp_2023,ndp_2023,other_2023,total_votes
Calgary-Acadia,24261.215112025184,21849.149088301456,1181.8980433743754,47292.26224370102
Calgary-Airdrie,9664.866984619275,5987.2516902542575,414.46203690579364,16066.580711779327
Calgary-Beddington,10450.693770625958,11050.848764490935,680.481812408674,22182.024347525567
Calgary-Bow-Springbank,10837.657010868952,10925.081307158538,811.2400984566898,22573.97841648418
Calgary-Buffalo,14163.950518058371,19302.655557932518,939.4228852543253,34406.02896124521
Calgary-Cross,4140.70257083427,3863.922231085889,250.02972847775544,8254.654530397915
Calgary-Currie,19072.631768981493,19415.341951742514,1436.6192441712485,39924.59296489526
Calgary-De Winton,9901.577697289596,6932.745590826352,213.65151919506278,17047.974807311013
Calgary-East,11419.745412973445,12631.807361706633,961.0597761108127,25012.61255079089
Calgary-Edgemont,13667.52474581298,14798.694305373294,629.2674658914549,29095.486517077727
Calgary-Elbow,16055.71013647842,15324.847797851324,1348.4440550856798,32729.001989415425
Calgary-Falconridge,8369.099291288316,8247.633146853545,152.4314573341163,16769.163895475976
Calgary-Fish Creek,5637.40850525676,4468.8725021563305,225.21376149171243,10331.494768904802
Calgary-Foothills-Airdrie West,11752.597256389236,11404.420921653844,342.4585129960781,23499.47669103916
Calgary-Glenmore,12638.999968576958,12686.999969063505,421.99999968986185,25747.999937330325
Calgary-Hays,6048.89255809412,4633.9409746146175,226.1392800899923,10908.97281279873
Calgary-Klein,17850.43182134222,16213.216760137117,980.8076913914813,35044.45627287082
Calgary-Lougheed,11836.356469611927,10099.710242815141,547.2999270051298,22483.3666394322
Calgary-McCall-Bhullar,3474.179769312118,4805.863201510838,7.911299891011222e-06,8280.042978734256
Calgary-Mountain View,8467.999985842827,16515.999969467415,543.9999990774133,25527.999954387655
Calgary-Nolan Hill-Cochrane,6102.924084004033,4174.293446253557,255.82966452227643,10533.047194779865
Calgary-North,4260.336806162695,4192.624700013891,1.2226149508874832e-06,8452.961507399203
Calgary-North East,6009.06891917577,7538.218059842281,3.4316210577435056e-07,13547.286979361214
Calgary-North West-Bearspaw,6109.050966948527,6034.31906607643,501.2678098832192,12644.637842908176
Calgary-Peigan-Chestermere,5910.839455573628,4113.1317104981645,186.75032071831635,10210.721486790108
Calgary-South,4080.010956802759,2780.9020418665755,108.72065036741924,6969.633649036754
Calgary-South East,6680.449223467187,4494.219515748453,197.6837164444697,11372.35245566011
Calgary-Varsity,9376.999990944712,13448.999984522425,253.00000013306465,23078.999975600203
Calgary-West-Tsuut'ina,11945.305899403324,8814.078002768614,288.8760077270568,21048.259909898996
Edmonton-Beaumont,3275.6362279422688,2732.9583263910868,146.3044969884604,6154.899051321816
Edmonton-Beverly-Clareview,19083.243471942456,35603.192150757146,1924.982427406529,56611.418050106135
Edmonton-Castledowns,2725.84479670202,3329.139272640825,186.21818989787158,6241.202259240717
Edmonton-City Centre,5572.90304214938,16217.914598468382,646.6947851290169,22437.51242574678
Edmonton-Decore,274.6573599369403,361.8230378104685,12.94786672267249,649.4282644700813
Edmonton-Ellerslie,358.64220993405723,524.744201922608,15.459035826202078,898.8454476828674
Edmonton-Enoch-Devon,8786.879381788076,12402.425394596545,553.6759286651087,21742.98070504973
Edmonton-Glenora-Riverview,7695.760415891504,13472.719445041368,710.7398421123538,21879.219703045226
Edmonton-Gold Bar,8352.772209855839,10055.735537562234,901.9513702933466,19310.45911771142
Edmonton-Highlands-Norwood,7474.781814347657,12423.45130362091,198.8476767008709,20097.08079466944
Edmonton-Manning,163.06558963683457,156.87301981896917,10.76940723558621,330.70801669138996
Edmonton-McClung,6864.021584270099,11937.747797318689,467.8968024327018,19269.666184021487
Edmonton-Meadows,3591.830252719497,6070.195295220844,125.54474941861548,9787.570297358956
Edmonton-Mill Woods,142.52892884108383,99.04674439404565,5.641912733711357,247.21758596884084
Edmonton-North West,4220.430177966363,3310.4024464252516,318.9139782190887,7849.746602610703
Edmonton-Rutherford,1398.943276366834,1836.314183358541,53.853792521317736,3289.111252246693
Edmonton-South,4583.562890387585,6852.963364218686,180.29281096935134,11616.819065575623
Edmonton-Spruce Grove,9163.391804147139,6519.554707546218,407.65468758045,16090.601199273808
Edmonton-Strathcona,1070.0108461944317,4939.8257635983855,186.1129624798226,6195.94957227264
Edmonton-West Henday,3119.7523693169983,4463.789916205215,291.90832818025547,7875.450613702469
Edmonton-Whitemud,2738.4995382757465,4488.7323270097,207.22349211498351,7434.45535740043
Edmonton-Windermere,1286.7866713325548,1497.414750241621,44.744316891861196,2828.945738466037
Airdrie East,13841.293741130414,7896.933188026008,571.4653811502526,22309.692310306677
Barrhead-Westlock-Athabasca,14019.917711102104,4927.593380565838,9.995049760661663,18957.506141428603
Camrose,14384.52386914756,6062.385114915536,2033.6407075916993,22480.549691654796
Canmore-Kananaskis,9079.116722474553,9728.24663387673,377.4843296023762,19184.84768595366
Cold Lake-Bonnyville-St. Paul,14022.965571004715,4542.408937539465,0.0,18565.37450854418
Central Peace-Notley,9788.37919033087,2320.4115660841944,473.154124578407,12581.944880993471
Chestermere-Strathmore,14305.40936659602,5674.384034765207,533.1069113384524,20512.90031269968
Drumheller-Stettler,17283.545418678063,3218.4887806310103,808.9969797905526,21311.031179099627
Fort McMurray-Lac La Biche,7322.986581020504,2422.9534891159774,192.00495023933834,9937.945020375819
Fort McMurray-Wood Buffalo,6483.0,1884.0,1211.0,9578.0
Fort Saskatchewan-Vegreville,9344.779264128858,5600.21529364195,777.8494290824144,15722.843986853222
Grande Prairie,5000.5000637275725,2445.0000142526337,375.0000013377403,7820.500079317947
Grande Prairie-Wapiti,19585.12083629045,6403.588446988023,996.8458773903357,26985.55516066881
Highwood,16158.71010986295,6831.355818401999,523.8573907677783,23513.92331903273
Lac Ste. Anne-Parkland,15362.804600639,5760.148791309709,792.2133112334341,21915.16670318214
Leduc,12027.349964218467,8192.799597685702,606.9920420829836,20827.14160398715
Lesser Slave Lake,5873.933379832476,2852.5047993585486,143.99999999999997,8870.438179191024
Lethbridge-Cardston,8717.971489396567,2094.182631958683,987.2113034107849,11799.365424766034
Lethbridge-Fort MacLeod-Crowsnest Pass,28017.26467115945,19116.529703323205,2627.0774349145254,49760.871809397184
Lethbridge-Little Bow,21175.854075858577,12579.583434981518,1547.1579998011034,35302.59551064119
Lethbridge-Taber-Warner,6855.697988227515,3091.4344287700546,377.1097257377909,10324.242142735362
Lloydminster-Wainwright,13582.622217227823,3254.9320557983488,1459.5985674419705,18297.152840468145
Medicine Hat-Brooks,13314.99999946153,5476.9999996876395,1232.9999999546635,20024.999999103835
Medicine Hat-Cypress,8253.596346163127,4898.92746223216,375.3714678034532,13527.89527619874
Olds-Three Hills-Didsbury,16934.57907132135,4345.882832288682,1302.4062319500435,22582.86813556008
Peace River,8236.0,2587.0,484.0,11307.0
Red Deer-Blackfalds,12077.505111885861,8991.627900236366,528.4839057681435,21597.61691789037
Red Deer-Innisfail,14782.539694975,9009.675100155155,917.1870312257947,24709.40182635595
Red Deer-Lacombe,13694.183964170898,4867.045055164198,1796.7122142286325,20357.941233563728
Red Deer-Sylvan Lake,13985.395955244012,4813.165905922049,831.615562865551,19630.17742403161
Rocky Mountain House-Banff Park,12698.264163803435,2951.339663599388,2903.3623624440243,18552.966189846848
Sherwood Park,6044.924104521791,6914.240970265526,799.0645294215203,13758.229604208838
St. Albert,6937.760317520916,10133.021001566985,295.47361930174844,17366.25493838965
St. Albert-Sturgeon,11002.649260981332,9213.084186302009,675.2268532515003,20890.96030053484
Stony Plain-Drayton Valley,82382.39233091078,112731.02135340309,5734.860732369577,200848.27441668347
Sherwood Park-Strathcona,8641.566893365922,7539.153634680174,386.6304674832226,16567.350995529316
West Yellowhead,13647.34770484584,5443.84002365297,0.0,19091.18772849881
Wetaskawin-Ponoka-Maskwacis,11901.375729562917,4541.141280670976,1224.4091721460522,17666.926182379946
