perturbation_idx,majority_eg_pct,minority_eg_pct,asymmetry_pp,majority_mm_pp,minority_mm_pp,majority_declination,minority_declination,majority_seats_at_50_ndp,minority_seats_at_50_ndp,majority_ndp_seats,minority_ndp_seats,majority_conservation_pass,minority_conservation_pass,majority_coverage_frac,minority_coverage_frac
0,-2.141939443329323,1.6361619369139084,3.778101380243232,-1.3412559239147082,-1.8910082191660404,-0.04433580524030585,-0.026155463120857803,49,45,40,35,True,True,0.915640909614928,0.8951725478549029
1,-6.016631417333324,0.8478903111482406,6.864521728481564,-1.3878046192199178,-1.4269652712064318,-0.057048692897042286,-0.021639250816969356,49,44,41,35,True,True,0.9152929213636074,0.8954189575998774
2,-2.355547109197586,-0.9965261670532571,1.3590209421443291,-1.2331536527284415,-1.7338639121972477,-0.04397954911466942,-0.038658785122123986,49,46,40,36,True,True,0.9153199051794297,0.8944776264076301
3,-5.218124040132664,2.0848857785715103,7.303009818704173,-1.783308767525854,-1.40827774394085,-0.0563710751992778,-0.010347745737733153,49,43,41,34,True,True,0.915450362776309,0.8951157932617733
4,-2.4473965646443623,0.7857803483874274,3.23317691303179,-1.4881333566107824,-1.4584730200662976,-0.030077219545475577,-0.022749219584957625,49,44,39,35,True,True,0.9153980413669076,0.8948239904479747
5,-5.412107751647581,0.771443747543452,6.183551499191033,-1.3136669082595809,-1.832747473400692,-0.05456884128497424,-0.031235040448590323,49,46,41,36,True,True,0.9152483080566336,0.8952603962801865
6,-1.2651965347580463,1.2072670765463018,2.472463611304348,-1.501913407267047,-1.4013835560225008,-0.030803507340747285,-0.019360885646816824,50,45,39,35,True,True,0.9153338923569656,0.8953673076274924
7,-5.2610213298917,2.807462883859733,8.068484213751434,-1.7311386795839656,-2.1375051242704943,-0.04346168006277469,-0.00696029969430621,49,47,40,34,True,True,0.9157034007932866,0.8952975266056901
8,-2.834372827557817,0.44861084079920344,3.28298366835702,-1.3823169668684687,-1.6023314915483367,-0.04427596065592678,-0.036769979619164755,49,46,40,36,True,True,0.9151984643053734,0.8945984669423149
9,-2.352164287414083,0.699861258298444,3.0520255457125267,-1.2878092325555979,-1.2028238868419527,-0.04496016865828034,-0.02286319302459055,50,44,40,35,True,True,0.9160413942194838,0.8952434294942253
10,-2.201003410228018,0.059185608188768196,2.260189018416786,-1.6467756384967336,-0.8420367454913036,-0.04600152002915935,-0.03485196783478561,49,44,40,36,True,True,0.9156639985213506,0.8953046469540207
11,-2.2909183690560377,-0.5979890703144528,1.692929298741585,-1.3186600062322806,-1.7767139642296814,-0.031706770386644954,-0.04706210122367231,49,46,39,37,True,True,0.9151761158294023,0.8950546645928188
12,-2.3842178453059244,0.5754770692989953,2.9596949146049196,-1.0668798929278134,-1.0744442088750528,-0.044177397715724556,-0.031287144590811417,49,43,40,36,True,True,0.9154921571901417,0.8945871696736827
