ed_name,ucp_2023,ndp_2023,other_2023,total_votes
Calgary-Acadia,7552.946334516704,7180.218527744934,497.9819274659635,15231.146789727602
Calgary-Beddington,15658.472640854823,15870.11479063326,533.9387055017088,32062.526136989796
Calgary-Bhullar-McCall,6953.345520139045,9497.58288478211,3.6039790422796147,16454.532383963437
Calgary-Bow,16244.53823760299,17727.394608142287,1052.1056864872342,35024.03853223252
Calgary-Buffalo,10141.437045264362,16996.947216519762,706.1478585790172,27844.53212036314
Calgary-Confluence,3785.1154473466872,6835.858935220373,245.92501732712805,10866.899399894188
Calgary-Cross,8798.425865636756,9585.263999316072,668.5393809372771,19052.229245890107
Calgary-Currie,15414.775830482626,16053.10100707548,1065.2807177005675,32533.157555258673
Calgary-East,11041.6960502919,10443.266134969523,824.3673346784005,22309.329519939824
Calgary-Edgemont,14802.718346520407,14856.534259607213,811.0289509334561,30470.281557061076
Calgary-Elbow,11671.94363787577,12259.852870980963,1037.5129944054704,24969.309503262204
Calgary-Falconridge-Conrich,3882.5756636634414,5495.658806269839,140.53736441859604,9518.771834351877
Calgary-Fish Creek,23435.950739057287,20562.368817552022,1128.6235512539783,45126.943107863284
Calgary-Glenmore-Tsuut'ina,5366.368957326635,4159.503732574838,132.67119492625037,9658.543884827723
Calgary-Hays,16778.27676066157,12178.940738158144,672.5684022408501,29629.785901060564
Calgary-Klein,14078.708003712376,15792.907445303332,810.4609618779622,30682.076410893667
Calgary-Lougheed,2059.081263086191,1424.4649889496252,107.61480412075996,3591.161056156576
Calgary-McKenzie,12073.49457863902,8884.949468153636,365.5396686391468,21323.9837154318
Calgary-Mountain View,4400.5611258767385,8590.328619338015,282.42798041458605,13273.31772562934
Calgary-North,2975.6763464418336,2927.6697318735564,6.390943266818779,5909.737021582208
Calgary-North East,7792.112785388151,7997.67826570495,44.096175621559915,15833.88722671466
Calgary-North West,9630.122714300174,8542.010322921938,519.7326418673638,18691.865679089475
Calgary-Nose Creek,6055.096043782952,6375.131371866183,379.8624455351422,12810.089861184277
Calgary-Shaw,7289.880309495458,5536.874733046044,123.67474301945812,12950.42978556096
Calgary-South East,14799.113042384812,10749.728485321079,491.0313280033781,26039.872855709265
Calgary-Symons Valley,379.72395134262086,289.8070306094771,11.58720418538227,681.1181861374803
Calgary-Varsity,5148.5737137272345,7388.6363939097755,138.96147086330834,12676.171578500318
Calgary-West-Elbow Valley,12469.179947692448,10960.604145787222,492.91990561337667,23922.703999093046
Edmonton-Beaumont,2913.911677478162,2465.304080515782,125.32722372521773,5504.542981719162
Edmonton-Beverly-Clareview,4199.636203572775,6352.378739672799,416.18935835132623,10968.204301596901
Edmonton-Castle Downs,11175.888814865839,15328.124633829586,1203.0162671737394,27707.029715869165
Edmonton-City Centre,7409.116190034554,22999.155539777166,943.2683111591928,31351.540040970915
Edmonton-Decore,6458.626989152282,13523.577957901794,740.4375303142338,20722.64247736831
Edmonton-Ellerslie,6347.00895221532,10394.482281462859,228.21111173241118,16969.70234541059
Edmonton-Enoch,20242.680454767684,15345.446547954594,1368.6950888146316,36956.82209153691
Edmonton-Glenora-Riverview,5831.53108003907,10731.05471885799,586.3539373607098,17148.93973625777
Edmonton-Gold Bar,13416.614948234723,27243.545398243736,797.9370998154249,41458.09744629388
Edmonton-Highlands-Norwood,1675.2594169445767,4746.475826331982,220.5410261625455,6642.276269439104
Edmonton-Manning,4951.355922529223,7759.353204113758,243.60863891858634,12954.317765561567
Edmonton-McClung,2328.039937212284,3687.0888028779204,193.24141450638479,6208.370154596589
Edmonton-Meadows,3218.949145702882,5553.667614208264,107.34623109300873,8879.962991004155
Edmonton-Mill Woods,3527.47491113226,5676.457058400123,9.941261753873964e-07,9203.93197052651
Edmonton-North West,15194.44567989937,21667.67291191537,957.6228711062417,37819.74146292098
Edmonton-Rutherford,12546.16254551898,26515.049201121434,1242.8568359676417,40304.06858260806
Edmonton-South,8590.544211295204,12893.42257662663,336.7726604597766,21820.73944838161
Edmonton-Strathcona,1646.3102991212102,7603.454300943493,283.4022113194395,9533.166811384142
Edmonton-West Henday,5879.667154511605,8291.424098991898,523.7719012842304,14694.863154787732
Edmonton-Whitemud,4184.794315322634,6875.146045856484,315.7916329185281,11375.731994097647
Edmonton-Windermere,10023.942179887874,13423.271828291787,298.1877520629058,23745.401760242567
Airdrie-East,14584.445367038597,8315.494298189084,600.0761172193386,23500.01578244702
Airdrie-West,385.85049195764736,190.91150686495507,13.845082723162204,590.6070815457647
Barrhead-Westlock-Athabasca,15630.999995489257,5400.999998520071,1.487885058721622e-08,21031.99999402421
Camrose,13031.99999899052,5578.999999737134,1944.9999998320334,20555.999998559688
Canmore-Banff,9327.599409516104,9937.803568629446,378.34475614132737,19643.747734286877
Central Peace-Notley,9279.99999928823,2215.9999997777104,449.9999999663474,11945.999999032287
Chestermere-Strathmore,15216.803887002277,6057.823623692461,561.9584324777952,21836.585943172533
Cochrane-Springbank,16812.126203334738,10526.396067075673,726.6544998192024,28065.176770229613
